date,code,name,market,listing_status,sector_code,sector_name,open,high,low,close,adjust_close,volume,amount,adj_factor,shares_out,is_trading_suspended,is_limit_reached,frgn_net_amt,inst_net_amt,nps_net_amt,tust_net_amt,dealer_net_amt,frgn_net_qty,inst_net_qty,nps_net_qty,frgn_hold_ratio,usdkrw,us10y_yield,kr10y_yield,wti,dxy,cnykrw,gold,vix,earnings_date
20100105,005930,삼성전자,KS,Listed,278,반도체와반도체장비,12175.747614431266,12219.969458067215,12013.600854432785,12116.78515625,12116.78515625,27925850,338371524755.66406,1.0,147299337,False,0,130708336000,-30047280000,-81483000,18780907000,-38718135000,158603,-36520,-142,47.6875,1141.300048828125,0.03755000114440918,,81.7699966430664,77.62000274658203,167.41969539639143,1118.0999755859375,19.350000381469727,
20100106,005930,삼성전자,KS,Listed,278,반도체와반도체장비,12219.969076294961,12396.8564453125,12175.747234040577,12396.8564453125,12396.8564453125,22948850,284493599035.00977,1.0,147299337,False,0,130440442000,-38508512000,-5730310000,-13282778000,-2124801000,156071,-45936,-6820,47.78125,1130.4000244140625,0.03808000087738037,,83.18000030517578,77.48999786376953,165.78913548636336,1135.9000244140625,19.15999984741211,
20100107,005930,삼성전자,KS,Listed,278,반도체와반도체장비,12396.858351591329,12396.858351591329,11984.12109375,11984.12109375,11984.12109375,22107950,264944349934.5703,1.0,147299337,False,0,10055733000,-19937622000,-8216996000,-15883567000,16445056000,11984,-24161,-9977,47.875,1134.9000244140625,0.038220000267028806,,82.66000366210938,77.91000366210938,166.4613243159183,1133.0999755859375,19.059999465942383,
