Date,Code,Open,High,Low,Close,Volume,SMA_20,SMA_40,SMA_60,SMA_90,RSI_14,VOL_SMA_20,MACD,MACD_Sig,BBP_20,ATR_14,STOCH_K,STOCH_D,CCI_20,ALPHA_SMA_20,KOSPI_수익률,Return_5d,Label_5d
2015-05-14,000020,8450,8490,8310,8470,63928,8497.0,8128.25,7554.666666666667,6938.444444444444,41.35802469100061,133979.45,96.03345586633259,154.88069372096197,0.4806263533000767,299.2857142857143,0.7209302325581395,0.6045484881154063,-7.537120914915952,-0.0026168479830026236,0.002918416770727017,0.16292798110979922,1
2015-05-15,000020,8500,8780,8420,8580,117413,8473.5,8166.75,7597.666666666667,6972.333333333333,46.42857142818452,127417.35,109.4748419728785,145.7995233713453,0.5821365872502338,292.14285714285717,0.8387096774193549,0.7163479611624761,21.869277128492072,-0.0022319013492973936,-0.006522569600015071,0.09090909090909083,1
2015-05-18,000020,8600,8700,8300,8470,132129,8450.5,8202.5,7636.166666666667,7005.333333333333,46.70658682595576,124280.6,109.98333716207708,138.63628612949165,0.5159384919209173,293.57142857142856,0.75,0.7698799699924982,9.989200863930877,-0.0019110259901972237,0.0034274863517682608,0.12278630460448636,1
2015-05-19,000020,8430,8760,8430,8610,146176,8440.0,8236.5,7678.333333333333,7040.222222222223,50.279329608545304,123712.75,120.29645063324824,134.96831903024298,0.6436028210723044,307.85714285714283,0.8629032258064516,0.8172043010752689,35.31397982293617,-0.0005532221660566328,0.0033731998561776777,0.060394889663182294,1
2015-05-20,000020,8700,9900,8690,9890,1757390,8489.5,8291.75,7741.0,7088.555555555556,70.72368421020062,200285.25,229.11388767609424,153.79743275941325,1.3150571894590852,380.0,0.9957627118644068,0.8695553125569528,197.4113104845087,0.006060732599748209,0.008812504420397493,-0.04347826086956519,0
2015-05-21,000020,10050,10650,9790,9850,1275772,8541.0,8343.75,7800.166666666667,7136.888888888889,72.88135593185751,257195.35,308.5678467532398,184.75151555817857,1.1258537744989123,421.42857142857144,0.7427652733118971,0.8671437369942518,268.436453076629,0.006654198629819125,-0.007819437823083475,-0.04873096446700509,0
2015-05-22,000020,9920,9950,9360,9360,659586,8571.5,8385.75,7852.0,7179.333333333333,65.74923547372462,276233.1,328.2133378051003,213.4438800075629,0.8566832208649464,446.42857142857144,0.5852090032154341,0.7745789961305795,158.81413124904685,0.0039941679619133474,0.010971306899816735,0.03418803418803429,1
2015-05-26,000020,9400,9660,9250,9510,313847,8612.0,8428.75,7906.0,7223.222222222223,73.48242811468731,283410.35,351.83059332658195,241.12122267136675,0.8799109805417927,434.2857142857143,0.6334405144694534,0.6538049303322615,131.4334832884723,0.0058302074537626425,-0.0012114999301057194,0.09358569926393279,1
2015-05-27,000020,9500,9510,9040,9130,285377,8639.5,8470.25,7954.0,7262.444444444444,69.2771084334428,291344.15,336.0112853354185,260.09923520417715,0.7036779851044278,436.42857142857144,0.5112540192926045,0.5766345123258306,86.5911271420069,0.005048611299268063,-0.01679496151154658,0.08105147864184015,1
2015-05-28,000020,9230,9510,9160,9460,225990,8682.5,8519.25,8007.666666666667,7304.0,72.05479452027157,299471.4,346.1128385009124,277.3019558635242,0.8089319400057292,439.2857142857143,0.5809859154929577,0.5752268164183386,97.50916385257003,0.0066065433928895415,0.0016085409252668548,-0.0010570824524313016,0
