재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_CurrentProvisionsForConstructionWarranties	      하자보수충당부채	359,823,966	359,823,966	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherCurrentLiabilities	      기타유동부채	1,336,863,156	2,551,688,723	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncurrentLiabilities	   비유동부채	2,652,676,190	1,736,120,970	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_LongTermBorrowingsGross	      장기차입금	2,500,000,000	1,679,950,000	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncurrentLeaseLiabilities	      비유동리스부채	96,505,220	0	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_OtherNoncurrentFinancialLiabilities	      기타금융부채	56,170,970	56,170,970	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Liabilities	   부채총계	15,455,780,422	18,010,061,233	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_EquityAbstract	자본 [abstract]			
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_IssuedCapital	   자본금	22,386,071,500	22,386,071,500	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_CapitalSurplus	   기타불입자본	43,664,880,187	43,664,880,187	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_RetainedEarnings	   이익잉여금(결손금)	-32,504,436,899	-32,997,533,353	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Equity	   자본총계	33,546,514,788	33,053,418,334	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_EquityAndLiabilities	부채 및 자본 총계	49,002,295,210	51,063,479,567	
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CurrentAssets	   유동자산	333,216,122,575	258,239,155,470	
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CashAndCashEquivalents	      현금및현금성자산	175,201,556,517	27,273,765,717	
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_TradeAndOtherCurrentReceivables	      매출채권 및 기타유동채권	57,779,606,248	50,781,240,945	
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_Inventories	      재고자산	21,196,915,640	12,376,452,090	
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_OtherCurrentFinancialAssets	      기타유동금융자산	63,877,227,323	52,406,622,017	
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherCurrentAssets	      기타유동자산	15,160,816,847	9,774,465,360	
재무상태표, 유동/비유동법-별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_BS_20181112153138882_CurrentAssets	      매각예정비유동자산		105,626,609,341	
