재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentLeaseLiabilities	      유동리스부채	110,114,010	0	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_CurrentProvisionsForConstructionWarranties	      하자보수충당부채	359,823,966	359,823,966	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherCurrentLiabilities	      기타유동부채	2,431,873,592	2,868,321,393	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentTaxLiabilities	      당기법인세부채	0	88,357,745	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncurrentLiabilities	   비유동부채	2,652,676,190	1,736,120,970	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_LongTermBorrowingsGross	      장기차입금	2,500,000,000	1,679,950,000	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncurrentLeaseLiabilities	      비유동리스부채	96,505,220	0	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_OtherNoncurrentFinancialLiabilities	      기타금융부채	56,170,970	56,170,970	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Liabilities	   부채총계	16,747,140,443	18,957,538,831	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_EquityAbstract	자본 [abstract]			
