종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
디와이디,219550,200.0,9.97,46.31,4.62
카티스,140430,1225.0,54.1,7.14,3.86
아이톡시,052770,330.0,50.22,6.17,3.1
이앤에치,341310,497.0,45.12,6.46,2.92
이노벡스,279060,695.0,49.66,5.46,2.71
LG에너지솔루션,373220,408000.0,66.16,4.07,2.69
젬백스,082270,33000.0,54.64,4.88,2.67
천일고속,000650,236500.0,58.3,4.36,2.54
바이오인프라생명과학,266470,251.0,36.2,6.67,2.41
로지스몬,223220,166.0,4.23,52.54,2.22
