종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
광림,014200,2950.0,68.79,381.18,262.21
천일고속,000650,140200.0,42.31,27.16,11.49
아이톡시,052770,351.0,68.34,15.4,10.52
이앤에치,341310,425.0,67.35,13.5,9.1
코오롱모빌리티그룹우,45014K,18720.0,51.61,14.58,7.52
오늘이엔엠,192410,693.0,51.89,10.18,5.28
럭스피아,092590,439.0,68.5,7.69,5.27
,223220,166.0,31.04,16.02,4.97
애머릿지,900100,505.0,56.29,8.8,4.96
드림시큐리티,203650,1550.0,57.51,8.59,4.94
