종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
오늘이엔엠,192410,707.0,60.2,21.06,12.68
럭스피아,092590,422.0,74.34,16.07,11.95
광림,014200,1870.0,32.18,30.13,9.7
드림시큐리티,203650,1552.0,63.0,14.29,9.0
천일고속,000650,107900.0,43.56,17.75,7.73
이앤에치,341310,500.0,70.02,10.76,7.54
크레오에스지,040350,236.0,68.39,9.16,6.27
아이씨에이치,368600,1213.0,62.2,8.79,5.47
피엔티엠에스,257370,1960.0,72.68,6.05,4.4
애머릿지,900100,498.0,59.38,7.12,4.23
