종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
이노벡스,279060,671.0,56.51,7.17,4.05
미쥬,351020,6520.0,55.28,5.6,3.09
이앤에치,341310,474.0,52.42,5.24,2.75
,000650,140200.0,41.37,5.45,2.25
애머릿지,900100,515.0,36.87,4.17,1.54
티엘엔지니어링,413300,2255.0,48.3,3.17,1.53
오늘이엔엠,192410,749.0,29.37,5.12,1.5
우양에이치씨,101970,11210.0,34.12,3.94,1.34
아이톡시,052770,354.0,46.79,2.63,1.23
라온피플,300120,1948.0,45.27,2.61,1.18
