종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
광림,014200,2950.0,43.12,153.38,66.13
TS트릴리온,317240,230.0,35.29,36.82,12.99
이앤에치,341310,425.0,77.67,13.91,10.8
아이톡시,052770,351.0,57.18,9.03,5.16
럭스피아,092590,439.0,62.81,7.6,4.77
천일고속,000650,140200.0,62.57,7.01,4.39
KC산업,112190,1332.0,67.52,6.0,4.05
,296520,614.0,50.19,7.57,3.8
이노벡스,279060,763.0,67.79,5.49,3.72
데이터스트림즈,199150,2300.0,65.41,5.53,3.62
