종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
동양고속,084670,15740.0,44.39,40.12,17.81
JTC,950170,3800.0,66.33,10.92,7.24
인바이츠바이오코아,216400,2495.0,75.41,9.36,7.06
오늘이엔엠,192410,768.0,54.74,11.3,6.19
럭스피아,092590,469.0,66.0,8.74,5.77
코아스,071950,3400.0,50.71,10.5,5.33
드림시큐리티,203650,1617.0,55.28,9.11,5.04
코오롱모빌리티그룹우,45014K,15420.0,53.63,9.1,4.88
천일고속,000650,83000.0,43.44,10.99,4.78
애머릿지,900100,516.0,60.73,7.41,4.5
