종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
디와이디,219550,200.0,9.82,66.17,6.5
천일고속,000650,236500.0,57.76,8.13,4.69
카티스,140430,1225.0,54.38,8.04,4.37
아이톡시,052770,330.0,51.39,8.29,4.26
엔지브이아이,093510,774.0,60.41,5.16,3.12
이앤에치,341310,497.0,48.06,6.28,3.02
이노벡스,279060,695.0,48.8,5.0,2.44
로지스몬,223220,166.0,3.36,63.46,2.13
젬백스,082270,33000.0,51.26,3.56,1.83
판도라티비,202960,602.0,54.33,3.1,1.68
