종목명,종목코드,현재가,상승확률(%),예측수익률(%),동시적용 기대수익(%)
광림,014200,2950.0,39.07,221.38,86.49
이앤에치,341310,425.0,77.8,12.75,9.92
천일고속,000650,140200.0,49.48,14.28,7.06
오늘이엔엠,192410,693.0,55.45,8.79,4.87
럭스피아,092590,439.0,69.2,6.93,4.8
드림시큐리티,203650,1550.0,53.89,7.72,4.16
KC산업,112190,1332.0,66.5,6.17,4.1
아이톡시,052770,351.0,64.92,5.66,3.67
쌍방울,102280,620.0,25.68,11.98,3.08
이노벡스,279060,763.0,66.77,4.46,2.98
