Strategy,Date,Ticker,Name,Entry_Price,Predicted_Return_AI,Actual_Return_Strategy,Days_Held,Exit_Reason
V8_Balanced,2024-11-11,083420,그린케미칼,5220,0.012591953439696057,-0.05,2,Stop_Loss
V5_Baseline,2024-11-11,085810,알티캐스트,951,0.01317493570947728,-0.11251314405888538,5,Time_Cut
V6_Strategy,2024-11-11,085810,알티캐스트,951,0.01317493570947728,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,085810,알티캐스트,951,0.01317493570947728,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,085810,알티캐스트,951,0.01317493570947728,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,089230,THE E&M,1128,0.015485348093483628,-0.07358156028368794,5,Time_Cut
V6_Strategy,2024-11-11,089230,THE E&M,1128,0.015485348093483628,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,089230,THE E&M,1128,0.015485348093483628,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,089230,THE E&M,1128,0.015485348093483628,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,092190,서울바이오시스,3495,0.017181015470693485,-0.09012875536480687,5,Time_Cut
V6_Strategy,2024-11-11,092190,서울바이오시스,3495,0.017181015470693485,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,092190,서울바이오시스,3495,0.017181015470693485,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,092190,서울바이오시스,3495,0.017181015470693485,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,114920,대주이엔티,2495,0.013222284302951956,0.12024048096192384,5,Time_Cut
V6_Strategy,2024-11-11,114920,대주이엔티,2495,0.013222284302951956,0.07,1,Take_Profit
V7_Aggressive,2024-11-11,114920,대주이엔티,2495,0.013222284302951956,0.1,1,Take_Profit
V8_Balanced,2024-11-11,114920,대주이엔티,2495,0.013222284302951956,0.05,1,Take_Profit
V5_Baseline,2024-11-11,122640,예스티,9300,0.01892957441258763,-0.07956989247311828,5,Time_Cut
V6_Strategy,2024-11-11,122640,예스티,9300,0.01892957441258763,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,122640,예스티,9300,0.01892957441258763,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,122640,예스티,9300,0.01892957441258763,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,122830,원포유,1317,0.016583646781679763,-0.11693242217160213,5,Time_Cut
V6_Strategy,2024-11-11,122830,원포유,1317,0.016583646781679763,0.07,1,Take_Profit
V7_Aggressive,2024-11-11,122830,원포유,1317,0.016583646781679763,0.1,1,Take_Profit
V8_Balanced,2024-11-11,122830,원포유,1317,0.016583646781679763,0.05,1,Take_Profit
V5_Baseline,2024-11-11,136660,큐엠씨,405,0.012428992225143324,-0.28641975308641976,5,Time_Cut
V6_Strategy,2024-11-11,136660,큐엠씨,405,0.012428992225143324,0.07,1,Take_Profit
V7_Aggressive,2024-11-11,136660,큐엠씨,405,0.012428992225143324,0.1,1,Take_Profit
V8_Balanced,2024-11-11,136660,큐엠씨,405,0.012428992225143324,0.05,1,Take_Profit
V5_Baseline,2024-11-11,217910,에스제이켐,430,0.013359640662526508,0.05813953488372093,5,Time_Cut
V6_Strategy,2024-11-11,217910,에스제이켐,430,0.013359640662526508,0.07,1,Take_Profit
V7_Aggressive,2024-11-11,217910,에스제이켐,430,0.013359640662526508,0.1,1,Take_Profit
V8_Balanced,2024-11-11,217910,에스제이켐,430,0.013359640662526508,0.05,1,Take_Profit
V5_Baseline,2024-11-11,236810,엔비티,3295,0.030032301145481367,-0.0030349013657056147,5,Time_Cut
V6_Strategy,2024-11-11,236810,엔비티,3295,0.030032301145481367,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,236810,엔비티,3295,0.030032301145481367,-0.0030349013657056147,5,Time_Cut
V8_Balanced,2024-11-11,236810,엔비티,3295,0.030032301145481367,-0.0030349013657056147,5,Time_Cut
V5_Baseline,2024-11-11,244880,나눔테크,1999,0.014712954500493723,-0.06503251625812906,5,Time_Cut
V6_Strategy,2024-11-11,244880,나눔테크,1999,0.014712954500493723,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,244880,나눔테크,1999,0.014712954500493723,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,244880,나눔테크,1999,0.014712954500493723,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,296520,가이아코퍼레이션,778,0.02596570867435885,-0.14524421593830333,5,Time_Cut
V6_Strategy,2024-11-11,296520,가이아코퍼레이션,778,0.02596570867435885,-0.03,5,Stop_Loss
V7_Aggressive,2024-11-11,296520,가이아코퍼레이션,778,0.02596570867435885,-0.05,5,Stop_Loss
V8_Balanced,2024-11-11,296520,가이아코퍼레이션,778,0.02596570867435885,-0.05,5,Stop_Loss
V5_Baseline,2024-11-11,318020,포인트모바일,3525,0.016026719228499305,-0.1049645390070922,5,Time_Cut
V6_Strategy,2024-11-11,318020,포인트모바일,3525,0.016026719228499305,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,318020,포인트모바일,3525,0.016026719228499305,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,318020,포인트모바일,3525,0.016026719228499305,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,336040,타스컴,3695,0.020620538032506106,-0.05548037889039242,5,Time_Cut
V6_Strategy,2024-11-11,336040,타스컴,3695,0.020620538032506106,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,336040,타스컴,3695,0.020620538032506106,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,336040,타스컴,3695,0.020620538032506106,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,341310,이앤에치,800,0.020200690899146185,-0.02625,5,Time_Cut
V6_Strategy,2024-11-11,341310,이앤에치,800,0.020200690899146185,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,341310,이앤에치,800,0.020200690899146185,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,341310,이앤에치,800,0.020200690899146185,-0.05,1,Stop_Loss
V5_Baseline,2024-11-11,351320,넥사다이내믹스,1369,0.013486264728450915,0.06501095690284879,5,Time_Cut
V6_Strategy,2024-11-11,351320,넥사다이내믹스,1369,0.013486264728450915,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,351320,넥사다이내믹스,1369,0.013486264728450915,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,351320,넥사다이내믹스,1369,0.013486264728450915,0.05,1,Take_Profit
V5_Baseline,2024-11-11,413300,티엘엔지니어링,1012,0.04068542644683016,-0.3191699604743083,5,Time_Cut
V6_Strategy,2024-11-11,413300,티엘엔지니어링,1012,0.04068542644683016,0.07,1,Take_Profit
V7_Aggressive,2024-11-11,413300,티엘엔지니어링,1012,0.04068542644683016,0.1,1,Take_Profit
V8_Balanced,2024-11-11,413300,티엘엔지니어링,1012,0.04068542644683016,0.05,1,Take_Profit
V5_Baseline,2024-11-11,417310,코람코더원리츠,4410,0.018440720966131405,0.01020408163265306,5,Time_Cut
V6_Strategy,2024-11-11,417310,코람코더원리츠,4410,0.018440720966131405,0.01020408163265306,5,Time_Cut
V7_Aggressive,2024-11-11,417310,코람코더원리츠,4410,0.018440720966131405,0.01020408163265306,5,Time_Cut
V8_Balanced,2024-11-11,417310,코람코더원리츠,4410,0.018440720966131405,0.01020408163265306,5,Time_Cut
V5_Baseline,2024-11-11,438700,버넥트,2875,0.022117528771984012,-0.0017391304347826088,5,Time_Cut
V6_Strategy,2024-11-11,438700,버넥트,2875,0.022117528771984012,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,438700,버넥트,2875,0.022117528771984012,0.1,2,Take_Profit
V8_Balanced,2024-11-11,438700,버넥트,2875,0.022117528771984012,0.05,2,Take_Profit
V5_Baseline,2024-11-11,448730,삼성FN리츠,4355,0.015767466470760036,0.04936854190585534,5,Time_Cut
V6_Strategy,2024-11-11,448730,삼성FN리츠,4355,0.015767466470760036,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,448730,삼성FN리츠,4355,0.015767466470760036,0.04936854190585534,5,Time_Cut
V8_Balanced,2024-11-11,448730,삼성FN리츠,4355,0.015767466470760036,0.05,5,Take_Profit
V5_Baseline,2024-11-11,450140,코오롱모빌리티그룹,2075,0.014940409779685356,-0.0491566265060241,5,Time_Cut
