date,code,PER,PBR
20151109,122870,40.43,2.72
20151109,115530,,4.94
20151109,121800,4.37,0.39
20151109,123330,11.56,5.74
20151109,123010,,1.27
20151109,121600,,3.1
20151109,123420,2.37,0.33
20151109,134060,11.33,0.69
20151109,140660,,
20151109,129260,4.75,0.25
20151109,124500,25.49,4.84
20151109,131760,,1.1
20151109,126340,,4.2
20151109,131370,41.25,1.39
20151109,138360,4.03,0.78
20151109,131290,13.77,1.65
20151109,142280,20.12,2.07
20151109,163560,15.53,0.4
20151109,185190,,
20151109,177830,15.81,0.44
20151109,180400,,32.11
20151109,142760,,2.27
20151109,175140,,2.27
20151109,182400,,28.79
20151109,180640,15.74,2.05
20151109,185490,,1.08
20151109,206640,12.12,1.3
20151109,217950,,
20151109,195990,,1.44
20151109,200710,,2.28
20151109,192440,5.72,0.25
20151109,208640,,2.66
20151109,210540,6.44,0.46
20151109,200230,,0.69
20151109,192410,,
20151109,208710,,0.72
20151109,223220,,
20151109,222800,,4.52
20151109,224110,8.72,0.67
20151109,229500,,
20151110,000390,17.1,0.44
20151110,000990,10.47,1.1
20151110,000157,,5.67
20151109,900100,,0.89
20151110,001260,11.94,0.57
20151110,001525,,1.31
20151110,001740,26.74,0.45
20151110,004540,,0.36
20151110,004545,,2.15
20151110,005110,0.46,1.24
20151110,006060,7.68,0.56
20151110,001780,18.65,0.61
20151110,006345,22.65,2.7
20151109,229000,357.5,2.01
20151110,005880,3.78,0.29
20151110,005750,10.75,0.44
20151110,005740,5.09,0.29
20151110,006490,,2.83
20151110,009140,16.73,0.34
20151110,008930,43.97,3.02
20151110,008250,,0.24
20151110,007120,,0.44
20151110,007720,,0.77
20151110,008770,,1.29
20151110,009420,1076.74,15.05
20151110,007390,,25.1
20151110,010470,6.38,0.53
20151110,010120,56.61,6.89
20151110,011040,44.69,0.72
20151110,011200,4.48,0.77
20151110,015260,,1.03
20151110,014915,52.07,2.25
20151110,016450,,0.33
20151110,018700,,1.06
20151110,013030,10.1,0.95
20151110,014130,3.22,0.44
20151110,019660,,2.75
20151110,020710,2.05,0.45
20151110,021880,52.0,0.71
20151110,021080,7.36,0.59
20151110,024880,5.57,0.41
20151110,023440,,1.52
20151110,024800,1.97,0.15
20151110,028050,8.77,1.14
20151110,025880,6.26,0.55
20151110,027740,,1.25
20151110,034230,17.7,0.86
20151110,027410,4.35,0.21
20151110,032685,,12.75
20151110,036090,,0.62
20151110,039130,10.23,4.49
20151110,036200,26.43,1.26
20151110,036480,,0.77
20151110,037400,,0.17
20151110,039010,4.93,0.55
20151110,036810,128.32,2.72
20151110,038530,,0.54
20151110,042510,31.6,2.2
20151110,041960,101.55,6.15
20151110,039980,23.52,1.57
20151110,041520,,0.44
20151110,042940,,0.43
20151110,045510,24.76,0.73
20151110,046120,11.74,1.65
20151110,047310,,0.76
20151110,052020,,7.24
20151110,043220,,0.61
20151110,051905,18.23,0.35
20151110,048550,,1.51
20151110,052860,,1.19
20151110,056730,,0.62
20151110,054300,10.65,0.89
20151110,058450,,1.02
20151110,054180,,0.24
20151110,054630,,2.31
20151110,054410,16.75,0.37
20151110,056360,,0.41
20151110,065530,28.24,0.93
20151110,065650,,1.47
20151110,065710,15.65,2.05
20151110,064090,,0.83
20151110,067290,5.27,1.96
20151110,066790,,2.72
20151110,067390,,0.67
20151110,074610,,1.89
20151110,067080,458.86,4.1
20151110,070300,,0.92
20151110,069080,11.75,0.53
20151110,072770,,1.71
20151110,078160,,2.96
20151110,078350,28.03,2.11
20151110,079970,,0.34
20151110,078150,,0.68
20151110,082850,,0.49
20151110,079550,28.97,6.51
20151110,083660,,3.34
20151110,086040,,1.1
20151110,082210,1.96,0.79
20151110,086220,,
20151110,087600,,0.44
20151110,089790,,0.7
20151110,092590,,
20151110,088130,21.32,0.44
20151110,089980,28.13,1.37
20151110,094970,8.79,0.33
20151110,089230,,0.97
20151110,096690,,0.41
20151110,095660,,0.97
20151110,097780,,0.3
20151110,101000,,0.86
20151110,103660,,
20151110,106520,,0.92
20151110,099520,,2.49
20151110,102940,,1.45
20151110,106080,,1.2
20151110,109820,,2.71
20151110,115450,,1.93
20151110,107640,29.58,5.73
20151110,114090,20.26,2.09
20151110,148250,,1.58
20151110,140660,,
20151110,121800,4.37,0.39
20151110,142760,,2.27
20151110,131220,10.59,0.78
20151110,150840,,56.8
20151110,122640,30.49,2.71
20151110,173940,,1.8
20151110,159910,,1.67
20151110,163560,15.53,0.4
20151110,177350,2.72,0.63
20151110,180400,,32.11
20151110,185190,,
20151110,192440,5.72,0.25
20151110,195990,,1.44
20151110,192410,,
20151110,200710,,2.28
20151110,185490,,1.08
20151110,199800,65.17,10.46
20151110,200350,,1.39
20151110,208890,,
20151110,217190,41.31,1.45
20151110,213420,21.83,2.32
20151110,208710,,0.72
20151110,900100,,0.89
20151111,000150,,10.67
20151110,220100,,8.35
20151111,001260,11.94,0.57
20151110,229000,357.5,2.01
20151110,223220,,
20151110,229500,,
20151111,000157,,5.67
20151111,001525,,1.31
20151111,001520,,0.23
20151111,001780,18.65,0.61
20151111,002870,,0.43
20151111,002760,,1.26
20151111,003520,,3.9
20151111,001740,26.74,0.45
20151111,004545,,2.15
20151111,002720,13.72,0.9
20151111,005110,0.46,1.24
20151111,005740,5.09,0.29
20151111,005745,5.98,0.34
20151111,005750,10.75,0.44
20151111,006090,7.53,0.37
20151111,006060,7.68,0.56
20151111,006380,,9.13
20151111,005965,,0.89
20151111,007390,,25.1
20151111,006840,,0.24
20151111,005880,3.78,0.29
20151111,007720,,0.77
20151111,007370,2.32,0.5
20151111,007980,2.03,0.3
20151111,008250,,0.24
20151111,008930,43.97,3.02
20151111,009620,,3.64
20151111,010120,56.61,6.89
20151111,008490,7.15,0.64
20151111,009140,16.73,0.34
20151111,008770,,1.29
20151111,010280,6.41,0.85
20151111,011155,144.38,6.98
20151111,011810,,3.62
20151111,011040,44.69,0.72
20151111,013030,10.1,0.95
20151111,014910,13.43,0.58
20151111,010820,13.61,2.9
20151111,011200,4.48,0.77
20151111,014825,8.69,0.64
20151111,015260,,1.03
20151111,014130,3.22,0.44
20151111,014915,52.07,2.25
20151111,015860,12.95,0.71
20151111,016100,,1.27
20151111,021880,52.0,0.71
20151111,018700,,1.06
20151111,023440,,1.52
20151111,019180,2.89,0.66
20151111,017800,11.8,2.18
20151111,024800,1.97,0.15
20151111,023770,,1.82
20151111,020710,2.05,0.45
20151111,025880,6.26,0.55
20151111,024850,,1.18
20151111,024880,5.57,0.41
20151111,025620,,2.59
20151111,027830,23.33,0.86
20151111,028670,6.93,0.38
20151111,031440,6.87,0.47
20151111,030720,5.09,0.55
20151111,027410,4.35,0.21
20151111,031860,,0.32
20151111,028050,8.77,1.14
20151111,028300,,14.18
20151111,035620,,0.47
20151111,033250,5.45,0.77
20151111,032080,33.6,0.23
20151111,032685,,12.75
20151111,036200,26.43,1.26
20151111,035810,12.85,0.38
20151111,037400,,0.17
20151111,038530,,0.54
20151111,039010,4.93,0.55
20151111,041520,,0.44
20151111,041960,101.55,6.15
20151111,042510,31.6,2.2
20151111,036480,,0.77
20151111,042940,,0.43
20151111,043220,,0.61
20151111,046120,11.74,1.65
20151111,049630,,1.73
20151111,052860,,1.19
20151111,045510,24.76,0.73
20151111,054300,10.65,0.89
20151111,054410,16.75,0.37
20151111,054180,,0.24
20151111,054630,,2.31
20151111,049800,24.1,0.38
20151111,058450,,1.02
20151111,056360,,0.41
20151111,065770,,0.99
20151111,064090,,0.83
20151111,066790,,2.72
20151111,066620,4.15,0.48
20151111,060260,22.09,0.79
20151111,065530,28.24,0.93
20151111,070300,,0.92
20151111,067080,458.86,4.1
20151111,069080,11.75,0.53
20151111,077970,20.36,4.12
20151111,071950,,
20151111,078160,,2.96
20151111,072770,,1.71
20151111,079550,28.97,6.51
20151111,083660,,3.34
20151111,083650,25.34,8.47
20151111,082850,,0.49
20151111,078350,28.03,2.11
20151111,082210,1.96,0.79
20151111,085670,13.12,1.19
20151111,086040,,1.1
20151111,087600,,0.44
20151111,088130,21.32,0.44
20151111,089230,,0.97
20151111,089980,28.13,1.37
20151111,089790,,0.7
20151111,094970,8.79,0.33
20151111,093240,,0.51
20151111,096690,,0.41
20151111,097520,8.39,1.31
20151111,097780,,0.3
20151111,099520,,2.49
20151111,098120,15.58,3.01
20151111,103660,,
20151111,101490,32.46,4.4
20151111,136480,6.86,0.95
20151111,121800,4.37,0.39
20151111,106520,,0.92
20151111,128940,52.39,4.93
20151111,138360,4.03,0.78
20151111,140660,,
20151111,138930,6.6,0.44
20151111,107640,29.58,5.73
20151111,185190,,
20151111,163560,15.53,0.4
20151111,148250,,1.58
20151111,176750,31.19,5.82
20151111,175140,,2.27
20151111,178780,5.92,1.43
20151111,196490,,
20151111,185490,,1.08
20151111,202960,,
20151111,200710,,2.28
20151111,192440,5.72,0.25
20151111,199800,65.17,10.46
20151111,208640,,2.66
20151111,208710,,0.72
20151111,206400,,0.91
20151111,223220,,
20151111,220100,,8.35
20151111,217190,41.31,1.45
20151111,213420,21.83,2.32
20151112,000157,,5.67
20151112,000150,,10.67
20151112,001740,26.74,0.45
20151112,002210,,0.59
20151112,002390,,0.57
20151112,002720,13.72,0.9
20151112,005110,0.46,1.24
20151112,002320,,0.21
20151112,005820,13.57,0.23
20151112,004720,24.88,0.3
20151112,005740,5.09,0.29
20151112,005745,5.98,0.34
20151112,005750,10.75,0.44
20151112,006570,,0.81
20151112,006060,7.68,0.56
20151112,005860,23.8,0.77
20151112,006910,15.84,2.45
20151112,005830,5.64,0.93
20151112,006920,119.8,0.99
20151112,006840,,0.24
20151112,007110,1613.0,2.11
20151112,007530,15.54,1.15
20151112,007390,,25.1
20151112,007770,,0.28
20151112,008770,,1.29
20151112,008250,,0.24
20151112,007720,,0.77
20151112,009140,16.73,0.34
20151112,011040,44.69,0.72
20151112,009620,,3.64
20151112,010470,6.38,0.53
20151112,011080,,0.8
20151112,009830,,0.51
20151112,013030,10.1,0.95
20151112,012170,,1.7
20151112,012790,5.98,0.44
20151112,014915,52.07,2.25
20151112,014130,3.22,0.44
20151112,014825,8.69,0.64
20151112,015260,,1.03
20151112,014910,13.43,0.58
20151112,011810,,3.62
20151112,019180,2.89,0.66
20151112,021320,2.74,0.18
20151112,015860,12.95,0.71
20151112,019660,,2.75
20151112,024850,,1.18
20151112,021880,52.0,0.71
20151112,023150,,0.48
20151112,024910,21.09,0.38
20151112,024840,,0.49
20151112,024880,5.57,0.41
20151112,025620,,2.59
20151112,027410,4.35,0.21
20151112,025880,6.26,0.55
20151112,028670,6.93,0.38
20151112,028300,,14.18
20151112,035620,,0.47
20151112,031440,6.87,0.47
20151112,042940,,0.43
20151112,036800,6.26,0.54
20151112,041960,101.55,6.15
20151112,036200,26.43,1.26
20151112,048430,6.31,0.59
20151112,048870,,1.02
20151112,046120,11.74,1.65
20151112,050090,,1.47
20151112,043710,,1.32
20151112,049630,,1.73
20151112,049800,24.1,0.38
20151112,052860,,1.19
20151112,054180,,0.24
20151112,054930,2.69,0.44
20151112,054300,10.65,0.89
20151112,054630,,2.31
20151112,056360,,0.41
20151112,058450,,1.02
20151112,058650,30.79,0.21
20151112,065530,28.24,0.93
20151112,066790,,2.72
20151112,060310,,1.76
20151112,072470,,0.5
20151112,069080,11.75,0.53
20151112,076340,,
20151112,069920,,1.01
20151112,071950,,
20151112,078150,,0.68
20151112,077970,20.36,4.12
20151112,073640,,1.14
20151112,082850,,0.49
20151112,078350,28.03,2.11
20151112,085670,13.12,1.19
20151112,079550,28.97,6.51
20151112,083650,25.34,8.47
20151112,084440,71.71,2.61
20151112,086040,,1.1
20151112,083660,,3.34
20151112,086220,,
20151112,087600,,0.44
20151112,086900,46.98,1.77
20151112,089230,,0.97
20151112,089790,,0.7
20151112,089590,,1.51
20151112,094970,8.79,0.33
20151112,089980,28.13,1.37
20151112,093240,,0.51
20151112,096690,,0.41
20151112,090850,7.72,1.12
20151112,097520,8.39,1.31
20151112,098660,,0.85
20151112,104830,12.72,0.79
20151112,099520,,2.49
20151112,101490,32.46,4.4
20151112,114920,,
20151112,097780,,0.3
20151112,107640,29.58,5.73
20151112,106520,,0.92
20151112,115530,,4.94
20151112,115570,,0.33
20151112,149010,,
20151112,123410,3.91,0.67
20151112,138360,4.03,0.78
20151112,138930,6.6,0.44
20151112,148250,,1.58
20151112,121800,4.37,0.39
20151112,163560,15.53,0.4
20151112,176750,31.19,5.82
20151112,119830,8.55,0.73
20151112,185190,,
20151112,202960,,
20151112,199800,65.17,10.46
20151112,203450,7.58,0.84
20151112,208710,,0.72
20151112,208640,,2.66
20151112,196490,,
20151112,206400,,0.91
20151112,192440,5.72,0.25
20151112,185490,,1.08
20151112,221800,,1.61
20151112,223220,,
20151112,217190,41.31,1.45
20151113,004060,304.0,0.23
20151113,000157,,5.67
20151113,005740,5.09,0.29
20151113,005750,10.75,0.44
20151113,001740,26.74,0.45
20151113,000150,,10.67
20151113,005820,13.57,0.23
20151113,001840,,4.66
20151113,006060,7.68,0.56
20151113,008770,,1.29
20151113,006090,7.53,0.37
20151113,005860,23.8,0.77
20151113,008355,,5.12
20151113,007110,1613.0,2.11
20151113,006920,119.8,0.99
20151113,009620,,3.64
20151113,006345,22.65,2.7
20151113,009830,,0.51
20151113,011040,44.69,0.72
20151113,012790,5.98,0.44
20151113,011080,,0.8
20151113,018310,8.27,0.44
20151113,011200,4.48,0.77
20151113,015260,,1.03
20151113,014200,,0.57
20151113,014130,3.22,0.44
20151113,017370,4.01,0.72
20151113,014910,13.43,0.58
20151113,019660,,2.75
20151113,024850,,1.18
20151113,021880,52.0,0.71
20151113,024910,21.09,0.38
20151113,020150,,0.79
20151113,024880,5.57,0.41
20151113,025620,,2.59
20151113,027740,,1.25
20151113,025880,6.26,0.55
20151113,028300,,14.18
20151113,029480,,0.55
20151113,031820,6.8,0.35
20151113,039130,10.23,4.49
20151113,041590,,2.99
20151113,035290,,1.39
20151113,036630,,0.46
20151113,041960,101.55,6.15
