date,code,PER,PBR
20150702,086390,,3.12
20150702,085910,48.35,1.16
20150702,083660,,3.34
20150702,080580,,4.34
20150702,084370,36.34,5.36
20150702,088130,21.32,0.44
20150702,084990,,1.61
20150702,083640,,0.29
20150702,080010,4.69,0.47
20150702,086980,,1.27
20150702,086450,13.09,1.24
20150702,083310,,0.81
20150702,084690,16.62,0.45
20150702,082270,,54.72
20150702,084650,,0.87
20150702,089230,,0.97
20150702,085660,,2.65
20150702,080220,55.7,3.41
20150702,080520,,0.25
20150702,084680,,0.83
20150702,089790,,0.7
20150702,090430,67.36,1.65
20150702,090355,11.81,0.63
20150702,090710,394.38,5.49
20150702,090435,23.11,0.56
20150702,092220,,0.43
20150702,092040,,1.51
20150702,093920,8.68,0.49
20150702,096870,37.93,1.15
20150702,094860,,0.91
20150702,092600,,1.27
20150702,095270,,1.22
20150702,094940,37.32,1.68
20150702,093240,,0.51
20150702,096530,,1.19
20150702,097780,,0.3
20150702,093370,,3.24
20150702,101160,14.05,1.3
20150702,102460,,0.83
20150702,094170,47.58,6.42
20150702,101400,,0.58
20150702,098660,,0.85
20150702,095500,21.97,1.08
20150702,102710,15.03,1.61
20150702,102940,,1.45
20150702,106520,,0.92
20150702,108670,,0.36
20150702,108675,,0.2
20150702,109960,,0.19
20150702,112610,8.29,1.48
20150702,109740,,1.62
20150702,114450,,1.59
20150702,114630,11.97,0.31
20150702,115530,,4.94
20150702,115450,,1.93
20150702,114810,16.06,2.08
20150702,119650,1.47,1.37
20150702,121600,,3.1
20150702,121060,,
20150702,130580,6.6,0.77
20150702,123410,3.91,0.67
20150702,130500,12.69,0.43
20150702,123330,11.56,5.74
20150702,122350,,0.45
20150702,120110,12.86,0.27
20150702,123840,,0.41
20150702,136660,,
20150702,140660,,
20150702,138610,,9.6
20150702,148250,,1.58
20150702,142280,20.12,2.07
20150702,149010,,
20150702,134790,,0.59
20150702,141000,6.04,0.45
20150702,149980,,1.16
20150702,151860,4.71,0.16
20150702,150840,,56.8
20150702,177350,2.72,0.63
20150702,178780,5.92,1.43
20150702,173940,,1.8
20150702,168330,,2.81
20150702,177830,15.81,0.44
20150702,176750,31.19,5.82
20150702,178600,,
20150702,161890,17.53,2.05
20150702,189350,,
20150702,182360,15.25,1.2
20150702,185490,,1.08
20150702,195990,,1.44
20150702,191420,,2.29
20150702,192440,5.72,0.25
20150702,189860,,1.31
20150702,192250,66.81,0.86
20150702,192820,35.45,5.03
20150702,200670,13.76,2.02
20150702,196170,299.32,82.81
20150702,193250,,0.55
20150702,214180,6.99,0.98
20150702,221800,,1.61
20150702,208890,,
20150702,202960,,
20150702,203450,7.58,0.84
