date,code,PER,PBR
20151102,134060,11.33,0.69
20151102,159580,55.34,0.99
20151102,137950,12.51,0.43
20151102,140660,,
20151102,149980,,1.16
20151102,136660,,
20151102,149010,,
20151102,178600,,
20151102,170900,,0.73
20151102,145270,,
20151102,150840,,56.8
20151102,139670,7.61,1.17
20151102,185750,18.65,1.19
20151102,184230,,1.18
20151102,138070,,0.46
20151102,137400,10.19,1.69
20151102,183190,8.78,0.4
20151102,182360,15.25,1.2
20151102,148250,,1.58
20151102,182400,,28.79
20151102,187270,5.66,0.43
20151102,192410,,
20151102,189980,10.32,0.66
20151102,194480,13.63,2.33
20151102,193250,,0.55
20151102,195990,,1.44
20151102,192440,5.72,0.25
20151102,205500,,4.52
20151102,203690,,2.52
20151102,214430,29.3,4.27
20151102,219750,505.5,2.38
20151102,220180,60.0,0.6
20151102,203450,7.58,0.84
20151102,221800,,1.61
20151103,000990,10.47,1.1
20151102,219130,77.43,2.18
20151103,001060,11.63,1.82
20151103,000760,,0.25
20151102,220100,,8.35
20151102,223220,,
20151102,227840,2.89,0.34
20151103,000860,24.3,0.25
20151103,000390,17.1,0.44
20151103,001065,12.89,2.01
20151103,001200,6.39,0.29
20151103,001067,29.19,4.56
20151103,001260,11.94,0.57
20151103,001380,28.26,0.51
20151103,001340,42.7,1.19
20151103,001515,,1.55
20151103,001940,38.93,0.29
20151103,001540,16.69,0.54
20151103,001525,,1.31
20151103,001820,23.87,1.18
20151103,002460,11.65,0.25
20151103,002360,,0.55
20151103,003350,9.09,2.14
20151103,002880,,1.11
20151103,002990,,0.52
20151103,002620,,0.38
20151103,003070,16.11,0.31
20151103,002820,,0.14
20151103,003570,19.32,1.31
20151103,003610,81.9,0.86
20151103,002760,,1.26
20151103,004410,,2.63
20151103,004140,10.37,0.76
20151103,004270,9.41,0.23
20151103,004835,18.81,1.16
20151103,003830,,0.18
20151103,004590,3.97,0.39
20151103,004545,,2.15
20151103,004800,3.82,1.01
20151103,004700,44.08,0.47
20151103,004830,13.01,0.8
20151103,004910,17.41,0.28
20151103,004870,,0.44
20151103,005965,,0.89
20151103,005750,10.75,0.44
20151103,005960,,0.27
20151103,005420,,3.08
20151103,006050,15.62,0.8
20151103,005670,8.31,0.68
20151103,006090,7.53,0.37
20151103,006340,22.26,2.65
20151103,007120,,0.44
20151103,006980,1.89,0.21
20151103,006840,,0.24
20151103,007160,26.6,0.4
20151103,007280,24.5,0.46
20151103,007810,,1.69
20151103,008370,10.1,0.6
20151103,007210,7.04,0.33
20151103,007390,,25.1
20151103,008870,29.14,0.55
20151103,007820,13.33,1.3
20151103,008930,43.97,3.02
20151103,009450,8.19,1.33
20151103,009410,,1.13
20151103,010170,,5.35
20151103,010660,30.76,0.76
20151103,010470,6.38,0.53
20151103,011090,11.6,0.66
20151103,010600,,2.85
20151103,009470,17.45,2.4
20151103,010820,13.61,2.9
20151103,011080,,0.8
20151103,011930,,1.52
20151103,012620,3.97,0.2
20151103,011200,4.48,0.77
20151103,011230,,4.36
20151103,012630,4.83,0.32
20151103,013000,11.97,0.65
20151103,012340,,1.01
20151103,012690,,0.99
20151103,013120,853.33,0.22
20151103,013990,14.39,0.72
20151103,013360,,1.01
20151103,014200,,0.57
20151103,014470,8.2,0.43
20151103,014710,9.82,0.57
20151103,014825,8.69,0.64
20151103,016090,7.61,0.27
20151103,016380,2.9,0.25
20151103,015710,10.98,0.47
20151103,015020,,0.55
20151103,016250,,0.17
20151103,018470,12.81,0.78
20151103,021050,,0.34
20151103,021880,52.0,0.71
20151103,023410,,0.23
20151103,023770,,1.82
20151103,023440,,1.52
20151103,023590,4.28,0.52
