date,code,PER,PBR
20150417,003280,10.8,1.82
20150417,006390,6.63,0.8
20150417,007540,13.86,0.47
20150417,006650,192.37,0.43
20150417,006910,15.84,2.45
20150417,007210,7.04,0.33
20150417,006090,7.53,0.37
20150417,004835,18.81,1.16
20150417,002785,224.12,2.13
20150417,004870,,0.44
20150417,007160,26.6,0.4
20150417,004545,,2.15
20150417,005690,50.14,10.24
20150417,004540,,0.36
20150417,005110,0.46,1.24
20150417,004980,10.78,0.42
20150417,004830,13.01,0.8
20150417,004650,7.04,0.54
20150417,007390,,25.1
20150417,005070,127.39,3.31
20150417,007810,,1.69
20150417,007980,2.03,0.3
20150417,010470,6.38,0.53
20150417,008600,,0.27
20150417,009830,,0.51
20150417,008250,,0.24
20150417,008490,7.15,0.64
20150417,012790,5.98,0.44
20150417,011090,11.6,0.66
20150417,010960,9.94,0.32
20150417,014190,14.86,0.45
20150417,012510,42.42,4.39
20150417,013000,11.97,0.65
20150417,009730,,0.86
20150417,013990,14.39,0.72
20150417,010640,23.03,1.42
20150417,012860,14.97,0.42
20150417,014100,,0.3
20150417,014130,3.22,0.44
20150417,014160,,0.55
20150417,012800,49.2,0.33
20150417,014825,8.69,0.64
20150417,017370,4.01,0.72
20150417,017180,45.56,0.56
20150417,015260,,1.03
20150417,018680,,0.87
20150417,017800,11.8,2.18
20150417,020120,,0.66
20150417,019540,2.82,0.31
20150417,019170,,2.78
20150417,020760,,1.52
20150417,020180,4.76,1.04
20150417,023590,4.28,0.52
20150417,023960,35.62,0.9
20150417,025550,727.0,0.73
20150417,024880,5.57,0.41
20150417,025750,,0.4
20150417,024900,7.93,0.68
20150417,024940,19.23,0.92
20150417,025770,6.79,0.88
20150417,025320,22.9,3.09
20150417,025890,20.51,0.58
20150417,027040,,1.48
20150417,025900,,0.5
20150417,030530,,2.38
20150417,032500,,5.34
20150417,027830,23.33,0.86
20150417,027410,4.35,0.21
20150417,032980,,0.83
20150417,032580,,0.84
20150417,033310,,0.52
20150417,033340,,2.63
20150417,033920,4.85,0.36
20150417,033640,,3.04
20150417,034310,10.56,0.64
20150417,034830,24.98,0.29
20150417,035290,,1.39
20150417,036200,26.43,1.26
20150417,037330,,0.3
20150417,036670,6.41,0.6
20150417,037400,,0.17
20150417,036530,7.33,0.67
20150417,036620,16.88,4.31
20150417,039020,,0.47
20150417,038870,,0.55
20150417,038530,,0.54
20150417,038290,,1.07
20150417,043220,,0.61
20150417,051160,5.79,0.66
20150417,042110,7.03,0.45
20150417,039200,419.82,14.88
20150417,049830,11.47,0.35
20150417,049520,4.16,0.5
20150417,043590,,0.47
20150417,049960,10.91,0.65
20150417,051370,6.13,0.72
20150417,046940,4.93,0.43
20150417,052770,,5.14
20150417,054300,10.65,0.89
20150417,053950,,0.58
20150417,054780,,2.17
20150417,054930,2.69,0.44
20150417,053690,8.7,0.89
20150417,054410,16.75,0.37
20150417,058630,7.56,0.9
20150417,059120,,1.77
20150417,060240,,2.6
20150417,060260,22.09,0.79
20150417,063170,,1.09
20150417,061250,15.32,0.44
20150417,064090,,0.83
20150417,066700,,0.74
20150417,067160,8.33,1.83
20150417,064520,,0.39
20150417,064850,16.54,1.53
20150417,068050,,0.7
20150417,068940,,1.79
20150417,073190,,1.57
20150417,066790,,2.72
20150417,069920,,1.01
20150417,078860,,0.95
20150417,078140,8.96,0.94
20150417,084990,,1.61
20150417,079190,,1.08
20150417,082210,1.96,0.79
20150417,073570,,0.85
20150417,086450,13.09,1.24
20150417,090470,,0.36
20150417,090370,,0.57
20150417,090850,7.72,1.12
20150417,098120,15.58,3.01
20150417,090150,,0.8
20150417,089010,43.14,2.79
20150417,096760,7.28,1.04
20150417,098660,,0.85
20150417,091700,13.89,0.72
20150417,101330,9.87,0.2
20150417,102710,15.03,1.61
20150417,102280,,0.74
20150417,100840,22.78,2.61
20150417,102940,,1.45
20150417,106080,,1.2
20150417,114810,16.06,2.08
20150417,108230,,0.4
20150417,119850,15.88,3.39
20150417,120240,9.74,0.5
20150417,122640,30.49,2.71
20150417,121440,4.72,0.26
20150417,145995,3.44,0.19
20150417,139050,,1.33
20150417,134790,,0.59
20150417,126700,18.44,0.73
20150417,140520,,0.3
20150417,131030,11.78,0.72
20150417,143240,17.31,0.76
20150417,159580,55.34,0.99
20150417,159910,,1.67
20150417,179720,,
20150417,185190,,
20150417,168330,,2.81
20150417,177350,2.72,0.63
20150417,191420,,2.29
20150417,193250,,0.55
20150417,177830,15.81,0.44
20150417,195990,,1.44
20150417,196450,,0.68
20150417,199150,,
20150417,199800,65.17,10.46
20150420,000220,15.92,0.61
20150417,900100,,0.89
20150420,000227,40.12,1.54
20150417,200710,,2.28
20150420,000650,,4.08
20150420,000070,28.92,0.37
