date,code,PER,PBR
20151215,002170,9.7,0.32
20151215,001420,28.0,0.56
20151214,225220,,0.53
20151215,006050,15.62,0.8
20151215,000040,,0.92
20151215,002620,,0.38
20151215,004700,44.08,0.47
20151215,000725,,0.73
20151215,005740,5.09,0.29
20151215,003070,16.11,0.31
20151215,001820,23.87,1.18
20151215,003350,9.09,2.14
20151215,000890,7.81,0.65
20151214,229500,,
20151215,005965,,0.89
20151215,005860,23.8,0.77
20151215,004770,12.69,0.65
20151215,002150,,0.81
20151215,005110,0.46,1.24
20151215,005960,,0.27
20151215,006340,22.26,2.65
20151215,009460,,0.36
20151215,011930,,1.52
20151215,014190,14.86,0.45
20151215,007280,24.5,0.46
20151215,019570,,0.49
20151215,015590,515.0,0.96
20151215,008040,6.32,0.54
20151215,021045,,1.35
20151215,018290,7.64,3.11
20151215,025880,6.26,0.55
20151215,032750,4.34,0.31
20151215,012030,2.56,0.6
20151215,024940,19.23,0.92
20151215,026910,3.39,0.72
20151215,021050,,0.34
20151215,020120,,0.66
20151215,032940,5.03,0.49
20151215,017390,8.44,0.23
20151215,033130,14.89,0.6
20151215,033050,11.19,0.43
20151215,029480,,0.55
20151215,021880,52.0,0.71
20151215,035620,,0.47
20151215,035460,3.73,0.53
20151215,038010,3.64,0.38
20151215,036620,16.88,4.31
20151215,038460,40.15,0.51
20151215,040160,,0.51
20151215,042040,,0.53
20151215,039740,6.22,0.48
20151215,051380,99.55,0.75
20151215,053160,,0.65
20151215,049480,11.34,0.82
20151215,042500,6.75,0.65
20151215,044990,6.93,0.96
20151215,042670,57.59,1.32
20151215,048830,,0.46
20151215,043710,,1.32
20151215,044960,14.84,0.99
20151215,054920,,0.64
20151215,057880,,
20151215,058110,,0.78
20151215,053800,14.92,1.56
20151215,036710,,33.53
20151215,060240,,2.6
20151215,054620,,0.36
20151215,060540,,0.33
20151215,060480,,0.42
20151215,063760,,0.27
20151215,063160,60.47,0.87
20151215,067080,458.86,4.1
20151215,048870,,1.02
20151215,064090,,0.83
20151215,064760,24.46,3.42
20151215,068050,,0.7
20151215,068290,16.68,0.93
20151215,073010,17.93,2.79
20151215,073570,,0.85
20151215,076340,,
20151215,080530,35.5,1.12
20151215,089140,,0.2
20151215,086390,,3.12
20151215,074610,,1.89
20151215,089230,,0.97
20151215,088790,12.66,0.23
20151215,090080,9.65,1.03
20151215,090355,11.81,0.63
20151215,092300,15.39,0.57
20151215,090370,,0.57
20151215,093370,,3.24
20151215,094860,,0.91
20151215,093640,,1.51
20151215,093520,15.45,1.88
20151215,096350,,2.63
20151215,092040,,1.51
20151215,096690,,0.41
20151215,103660,,
20151215,097520,8.39,1.31
20151215,099220,,0.91
20151215,099410,10.96,1.51
20151215,097780,,0.3
20151215,109960,,0.19
20151215,106520,,0.92
20151215,106080,,1.2
20151215,107640,29.58,5.73
20151215,117670,,1.39
20151215,123690,41.3,5.0
20151215,115530,,4.94
20151215,123840,,0.41
20151215,121850,,1.84
20151215,130500,12.69,0.43
20151215,130740,,0.3
20151215,178600,,
20151215,140660,,
20151215,179720,,
20151215,131180,9.3,0.4
20151215,149010,,
20151215,182400,,28.79
20151215,137400,10.19,1.69
20151215,175140,,2.27
20151215,184230,,1.18
20151215,185190,,
20151215,192410,,
20151215,190510,10.89,1.52
20151215,196450,,0.68
20151215,196490,,
20151215,199800,65.17,10.46
20151215,200350,,1.39
20151215,200580,,
20151215,203400,,14.78
20151215,200230,,0.69
20151215,208890,,
20151215,203690,,2.52
20151215,207760,,1.92
20151215,204630,,0.57
20151215,223220,,
20151215,214430,29.3,4.27
20151215,217190,41.31,1.45
20151215,217820,,1.71
20151215,208710,,0.72
20151216,001820,23.87,1.18
20151215,225220,,0.53
20151216,001420,28.0,0.56
20151215,232680,25.95,2.8
20151215,229000,357.5,2.01
20151216,000890,7.81,0.65
20151215,220180,60.0,0.6
20151216,000040,,0.92
20151216,002170,9.7,0.32
20151216,002620,,0.38
20151216,003350,9.09,2.14
20151216,003310,6.24,0.61
20151216,003070,16.11,0.31
20151216,004105,,1.17
20151216,005110,0.46,1.24
20151216,004770,12.69,0.65
20151216,004700,44.08,0.47
20151216,005960,,0.27
20151216,005740,5.09,0.29
20151216,005745,5.98,0.34
20151216,005965,,0.89
20151216,007390,,25.1
20151216,006050,15.62,0.8
20151216,006740,,0.49
20151216,006340,22.26,2.65
20151216,009460,,0.36
20151216,008040,6.32,0.54
20151216,007120,,0.44
20151216,015590,515.0,0.96
20151216,014190,14.86,0.45
20151216,018000,,3.99
20151216,019570,,0.49
20151216,018700,,1.06
20151216,020120,,0.66
20151216,026910,3.39,0.72
20151216,021050,,0.34
20151216,020710,2.05,0.45
20151216,027740,,1.25
20151216,021880,52.0,0.71
20151216,025900,,0.5
20151216,032940,5.03,0.49
20151216,029460,5.15,0.34
20151216,033130,14.89,0.6
20151216,029480,,0.55
20151216,032750,4.34,0.31
20151216,035620,,0.47
20151216,035460,3.73,0.53
20151216,033050,11.19,0.43
20151216,038870,,0.55
20151216,036710,,33.53
20151216,036620,16.88,4.31
20151216,039200,419.82,14.88
20151216,039740,6.22,0.48
20151216,045510,24.76,0.73
20151216,044990,6.93,0.96
20151216,044780,,0.46
20151216,042500,6.75,0.65
20151216,045300,13.3,0.44
20151216,042040,,0.53
20151216,040160,,0.51
20151216,046310,4.48,0.68
20151216,047560,,3.37
20151216,048410,,4.21
20151216,048430,6.31,0.59
20151216,049480,11.34,0.82
20151216,048830,,0.46
20151216,051380,99.55,0.75
20151216,053800,14.92,1.56
20151216,064090,,0.83
20151216,054620,,0.36
20151216,058110,,0.78
20151216,052420,7.04,0.51
20151216,063760,,0.27
20151216,076340,,
20151216,073010,17.93,2.79
20151216,073570,,0.85
20151216,064520,,0.39
20151216,079970,,0.34
20151216,068290,16.68,0.93
20151216,074610,,1.89
20151216,086390,,3.12
20151216,067080,458.86,4.1
20151216,090080,9.65,1.03
20151216,089140,,0.2
20151216,089230,,0.97
20151216,096690,,0.41
20151216,094860,,0.91
20151216,097520,8.39,1.31
20151216,092300,15.39,0.57
20151216,093370,,3.24
20151216,096350,,2.63
20151216,093640,,1.51
20151216,099220,,0.91
20151216,101490,32.46,4.4
20151216,103660,,
20151216,101670,,2.22
20151216,109960,,0.19
20151216,106080,,1.2
20151216,109820,,2.71
20151216,106520,,0.92
20151216,107640,29.58,5.73
20151216,121060,,
20151216,114450,,1.59
20151216,121800,4.37,0.39
20151216,136660,,
20151216,140660,,
20151216,123840,,0.41
20151216,149010,,
20151216,148250,,1.58
20151216,130740,,0.3
20151216,121850,,1.84
20151216,149980,,1.16
20151216,185190,,
20151216,179720,,
20151216,178600,,
20151216,197140,,0.43
20151216,175140,,2.27
20151216,200580,,
20151216,196490,,
20151216,207760,,1.92
20151216,208710,,0.72
20151216,208890,,
20151216,214430,29.3,4.27
20151216,199800,65.17,10.46
20151216,217190,41.31,1.45
20151216,223220,,
20151216,217820,,1.71
20151216,220180,60.0,0.6
20151216,224810,,
20151216,225220,,0.53
20151216,900100,,0.89
20151217,002620,,0.38
20151217,001420,28.0,0.56
20151217,003070,16.11,0.31
20151217,003310,6.24,0.61
20151217,004700,44.08,0.47
20151217,004770,12.69,0.65
20151217,005110,0.46,1.24
20151216,232680,25.95,2.8
20151217,005745,5.98,0.34
20151217,005960,,0.27
20151217,006050,15.62,0.8
20151217,005965,,0.89
20151217,006400,,1.16
20151217,006980,1.89,0.21
20151217,006060,7.68,0.56
20151217,006740,,0.49
20151217,007280,24.5,0.46
20151217,007390,,25.1
20151217,006340,22.26,2.65
20151217,008290,,1.12
20151217,009460,,0.36
20151217,008040,6.32,0.54
20151217,018000,,3.99
20151217,014620,28.58,1.39
20151217,009730,,0.86
20151217,016670,2.66,0.4
20151217,019570,,0.49
20151217,015590,515.0,0.96
20151217,024940,19.23,0.92
20151217,021880,52.0,0.71
20151217,020120,,0.66
20151217,025620,,2.59
20151217,026910,3.39,0.72
20151217,029460,5.15,0.34
20151217,032280,21.32,0.34
20151217,032750,4.34,0.31
20151217,033050,11.19,0.43
20151217,027740,,1.25
20151217,033130,14.89,0.6
20151217,039740,6.22,0.48
20151217,036710,,33.53
20151217,035620,,0.47
20151217,036620,16.88,4.31
20151217,039570,10.07,0.73
20151217,039200,419.82,14.88
20151217,041590,,2.99
20151217,041960,101.55,6.15
20151217,042500,6.75,0.65
20151217,042040,,0.53
20151217,044780,,0.46
20151217,044990,6.93,0.96
20151217,043090,,0.21
20151217,042940,,0.43
20151217,045510,24.76,0.73
20151217,047770,46.37,1.6
20151217,047820,,0.47
20151217,046310,4.48,0.68
20151217,048870,,1.02
20151217,048830,,0.46
20151217,048430,6.31,0.59
20151217,049480,11.34,0.82
20151217,052020,,7.24
20151217,051380,99.55,0.75
20151217,048410,,4.21
20151217,052420,7.04,0.51
20151217,053160,,0.65
20151217,064090,,0.83
20151217,063760,,0.27
20151217,058860,5.96,0.37
20151217,060260,22.09,0.79
20151217,054620,,0.36
20151217,066970,,8.37
20151217,053800,14.92,1.56
20151217,067730,8.05,1.29
20151217,067080,458.86,4.1
20151217,058110,,0.78
20151217,054920,,0.64
20151217,080530,35.5,1.12
20151217,073570,,0.85
20151217,089230,,0.97
20151217,079970,,0.34
20151217,073010,17.93,2.79
20151217,089140,,0.2
20151217,086060,8.61,0.58
20151217,090080,9.65,1.03
20151217,090370,,0.57
20151217,093520,15.45,1.88
20151217,096350,,2.63
20151217,086390,,3.12
20151217,093370,,3.24
20151217,094860,,0.91
20151217,093640,,1.51
20151217,097800,,1.11
20151217,096690,,0.41
20151217,101140,8.16,0.75
