date,code,PER,PBR
20150811,095340,39.31,3.15
20150811,096630,,0.78
20150811,095610,13.75,1.98
20150811,097870,18.19,0.61
20150811,095660,,0.97
20150811,098660,,0.85
20150811,098460,260.99,3.92
20150811,098120,15.58,3.01
20150811,101240,4.41,0.47
20150811,094970,8.79,0.33
20150811,099440,23.09,1.4
20150811,094850,16.68,0.84
20150811,097520,8.39,1.31
20150811,100030,9.82,0.95
20150811,100120,11.94,0.7
20150811,101170,,1.02
20150811,095700,,0.94
20150811,099520,,2.49
20150811,097780,,0.3
20150811,095500,21.97,1.08
20150811,101330,9.87,0.2
20150811,101390,,0.85
20150811,101730,,1.13
20150811,101490,32.46,4.4
20150811,106240,,0.39
20150811,102120,26.54,1.6
20150811,104460,4.14,0.85
20150811,102460,,0.83
20150811,109740,,1.62
20150811,104200,,0.65
20150811,104040,,0.55
20150811,102260,6.25,0.43
20150811,115480,,0.57
20150811,108860,,2.96
20150811,114190,151.86,10.77
20150811,106520,,0.92
20150811,115450,,1.93
20150811,111770,7.0,0.69
20150811,109820,,2.71
20150811,121060,,
20150811,115610,,3.88
20150811,114810,16.06,2.08
20150811,119650,1.47,1.37
20150811,118000,164.5,0.46
20150811,112610,8.29,1.48
20150811,117580,8.63,0.65
20150811,115570,,0.33
20150811,121850,,1.84
20150811,123040,,0.53
20150811,123750,,0.86
20150811,126340,,4.2
20150811,123010,,1.27
20150811,123690,41.3,5.0
20150811,124500,25.49,4.84
20150811,123840,,0.41
20150811,130660,33.58,3.11
20150811,131220,10.59,0.78
20150811,131100,1314.0,0.55
20150811,129260,4.75,0.25
20150811,131180,9.3,0.4
20150811,134060,11.33,0.69
20150811,134580,,2.94
20150811,136660,,
20150811,131370,41.25,1.39
20150811,134790,,0.59
20150811,136490,2.63,0.47
20150811,137400,10.19,1.69
20150811,140660,,
20150811,138080,,2.03
20150811,142280,20.12,2.07
20150811,138610,,9.6
20150811,140520,,0.3
20150811,138360,4.03,0.78
20150811,142760,,2.27
20150811,139050,,1.33
20150811,141080,3100.0,9.49
20150811,143540,,1.22
20150811,149980,,1.16
20150811,145995,3.44,0.19
20150811,151860,4.71,0.16
20150811,149010,,
20150811,154040,,0.34
20150811,153490,,0.36
20150811,151910,,4.67
20150811,159580,55.34,0.99
20150811,156100,87.16,4.15
20150811,160550,,0.64
20150811,161000,,0.71
20150811,166480,,1.06
20150811,170900,,0.73
20150811,171120,14.82,0.56
20150811,179720,,
20150811,177830,15.81,0.44
20150811,178780,5.92,1.43
20150811,173940,,1.8
20150811,189350,,
20150811,180640,15.74,2.05
20150811,180400,,32.11
20150811,187220,6.19,0.32
20150811,18064K,5.32,0.69
20150811,189690,12.63,0.74
20150811,191420,,2.29
20150811,196170,299.32,82.81
20150811,194480,13.63,2.33
20150811,192250,66.81,0.86
20150811,196450,,0.68
20150811,202960,,
20150811,195990,,1.44
20150811,200780,,0.59
20150811,200230,,0.69
20150811,203690,,2.52
20150811,200130,27.51,0.94
20150811,199800,65.17,10.46
20150811,196490,,
20150811,200670,13.76,2.02
20150811,200710,,2.28
20150811,204320,92.8,0.74
20150811,204840,1200.0,4.67
20150811,205500,,4.52
20150811,208890,,
20150811,214390,376.47,1.08
20150811,207760,,1.92
20150811,210540,6.44,0.46
20150811,214420,13.42,1.86
20150811,214430,29.3,4.27
20150811,214450,43.66,9.24
20150811,220180,60.0,0.6
20150811,215000,8.6,0.79
20150811,215480,,0.61
20150811,222670,,
20150811,220260,358.64,1.61
20150811,900140,49.03,0.66
20150811,900110,4.94,0.1
20150811,900100,,0.89
20150811,950130,,0.23
20150811,222420,,1.06
20150812,000020,26.92,0.45
20150812,000227,40.12,1.54
20150812,000180,,0.17
20150812,000325,8.6,0.66
20150812,000220,15.92,0.61
20150812,000490,,0.44
20150812,000225,18.54,0.71
20150812,000320,6.69,0.51
20150812,000390,17.1,0.44
20150812,000520,,1.49
20150812,000545,3.0,0.51
20150812,000725,,0.73
20150812,000640,7.82,0.62
20150812,000650,,4.08
20150812,000990,10.47,1.1
20150812,000760,,0.25
20150812,000910,,0.75
20150812,000970,10.87,0.41
