date,code,PER,PBR
20150408,014190,14.86,0.45
20150408,014160,,0.55
20150408,018310,8.27,0.44
20150408,014940,15.16,3.42
20150408,016600,,0.31
20150408,011000,,2.78
20150408,010960,9.94,0.32
20150408,017810,24.95,1.79
20150408,020180,4.76,1.04
20150408,014915,52.07,2.25
20150408,016100,,1.27
20150408,013120,853.33,0.22
20150408,023770,,1.82
20150408,017890,7.07,0.36
20150408,023960,35.62,0.9
20150408,015860,12.95,0.71
20150408,019550,15.13,0.82
20150408,021080,7.36,0.59
20150408,012690,,0.99
20150408,014990,,1.67
20150408,024850,,1.18
20150408,024890,,0.83
20150408,025620,,2.59
20150408,031430,37.97,0.4
20150408,036120,14.76,2.33
20150408,025900,,0.5
20150408,036200,26.43,1.26
20150408,036620,16.88,4.31
20150408,042510,31.6,2.2
20150408,043710,,1.32
20150408,043220,,0.61
20150408,040910,,0.8
20150408,033290,4.68,0.29
20150408,041920,33.31,0.76
20150408,041960,101.55,6.15
20150408,041190,3.29,0.81
20150408,030960,,0.64
20150408,044340,,0.42
20150408,038460,40.15,0.51
20150408,042940,,0.43
20150408,037330,,0.3
20150408,047560,,3.37
20150408,045340,7.37,2.08
20150408,045970,,1.79
20150408,048530,,1.37
20150408,048870,,1.02
20150408,049180,,4.4
20150408,049720,11.16,2.6
20150408,051160,5.79,0.66
20150408,052400,17.28,3.13
20150408,052710,,0.87
20150408,052020,,7.24
20150408,052460,,0.81
20150408,053950,,0.58
20150408,060310,,1.76
20150408,054300,10.65,0.89
20150408,056700,10.01,0.54
20150408,053690,8.7,0.89
20150408,054670,9.0,0.71
20150408,063440,10.62,1.14
20150408,060240,,2.6
20150408,064090,,0.83
20150408,063160,60.47,0.87
20150408,065690,2.27,0.21
20150408,064760,24.46,3.42
20150408,065950,,0.83
20150408,066980,,1.01
20150408,067080,458.86,4.1
20150408,072770,,1.71
20150408,068050,,0.7
20150408,074600,18.45,1.24
20150408,086900,46.98,1.77
20150408,067630,,1.61
20150408,068270,82.29,2.31
20150408,092600,,1.27
20150408,088390,,0.49
20150408,092870,,1.05
20150408,093370,,3.24
20150408,098660,,0.85
20150408,101240,4.41,0.47
20150408,101330,9.87,0.2
20150408,094860,,0.91
20150408,102710,15.03,1.61
20150408,104480,,0.12
20150408,094360,39.97,4.11
20150408,114920,,
20150408,104700,59.18,0.44
20150408,114630,11.97,0.31
20150408,119650,1.47,1.37
20150408,115570,,0.33
20150408,138360,4.03,0.78
20150408,121850,,1.84
20150408,121800,4.37,0.39
20150408,120240,9.74,0.5
20150408,131970,,2.1
20150408,122640,30.49,2.71
20150408,140910,,
20150408,138610,,9.6
20150408,145990,4.85,0.27
20150408,145995,3.44,0.19
20150408,170790,8.55,0.74
20150408,185190,,
20150408,142760,,2.27
20150408,173940,,1.8
20150408,168330,,2.81
20150408,187790,4.23,2.19
20150408,192250,66.81,0.86
20150408,179720,,
20150408,192440,5.72,0.25
20150408,208640,,2.66
20150409,000070,28.92,0.37
20150408,215000,8.6,0.79
20150409,000700,12.9,0.44
20150409,002720,13.72,0.9
20150409,000545,3.0,0.51
20150409,000650,,4.08
20150409,001060,11.63,1.82
20150409,004170,79.7,0.38
20150409,002710,27.85,1.75
20150409,004540,,0.36
20150409,004410,,2.63
20150409,006120,13.73,0.39
