date,code,PER,PBR
20150611,023770,,1.82
20150611,021045,,1.35
20150611,018620,,0.83
20150611,032980,,0.83
20150611,031310,,0.24
20150611,031860,,0.32
20150611,018700,,1.06
20150611,032580,,0.84
20150611,032940,5.03,0.49
20150611,030960,,0.64
20150611,031330,8.22,0.82
20150611,023800,15.26,0.4
20150611,028300,,14.18
20150611,023960,35.62,0.9
20150611,028050,8.77,1.14
20150611,033240,,1.14
20150611,033290,4.68,0.29
20150611,032685,,12.75
20150611,024720,7.7,0.58
20150611,021080,7.36,0.59
20150611,033340,,2.63
20150611,033500,19.21,4.26
20150611,036180,,1.89
20150611,038460,40.15,0.51
20150611,036540,,1.49
20150611,037400,,0.17
20150611,039030,84.38,5.22
20150611,036480,,0.77
20150611,043100,,1.14
20150611,035610,3.62,0.46
20150611,043910,,0.79
20150611,039840,,1.13
20150611,041440,24.33,0.7
20150611,049950,,1.19
20150611,038870,,0.55
20150611,037760,,0.62
20150611,041910,17.71,0.63
20150611,036810,128.32,2.72
20150611,048870,,1.02
20150611,050090,,1.47
20150611,051160,5.79,0.66
20150611,051390,12.41,0.39
20150611,048410,,4.21
20150611,042660,44.73,7.44
20150611,060720,18.13,1.04
20150611,051780,,1.53
20150611,052260,,0.95
20150611,061040,,0.35
20150611,060260,22.09,0.79
20150611,051980,,3.5
20150611,063760,,0.27
20150611,056730,,0.62
20150611,053700,2.71,0.21
20150611,064850,16.54,1.53
20150611,065420,,2.29
20150611,066130,6.7,0.45
20150611,054220,,1.05
20150611,060980,,0.35
20150611,066670,43.79,0.26
20150611,065440,13.97,1.07
20150611,065690,2.27,0.21
20150611,066430,105.08,1.16
20150611,063170,,1.09
20150611,067000,,1.33
20150611,066910,,1.15
20150611,065650,,1.47
20150611,067630,,1.61
20150611,067160,8.33,1.83
20150611,068330,16.47,0.97
20150611,071280,10.81,1.27
20150611,068050,,0.7
20150611,073190,,1.57
20150611,069620,21.55,1.93
20150611,069330,,0.77
20150611,069640,,0.86
20150611,073640,,1.14
20150611,077360,41.69,0.98
20150611,079160,,1.22
20150611,078160,,2.96
20150611,080010,4.69,0.47
20150611,078860,,0.95
20150611,080220,55.7,3.41
20150611,082210,1.96,0.79
20150611,084695,23.68,0.65
20150611,080530,35.5,1.12
20150611,082850,,0.49
20150611,084870,,0.43
20150611,084110,44.79,1.32
20150611,086980,,1.27
20150611,093640,,1.51
20150611,086280,8.7,1.28
20150611,090355,11.81,0.63
20150611,089140,,0.2
20150611,089010,43.14,2.79
20150611,095500,21.97,1.08
20150611,090470,,0.36
20150611,095700,,0.94
20150611,096630,,0.78
20150611,100030,9.82,0.95
20150611,101240,4.41,0.47
20150611,101400,,0.58
20150611,108230,,0.4
20150611,102940,,1.45
20150611,101730,,1.13
20150611,102280,,0.74
20150611,106080,,1.2
20150611,104460,4.14,0.85
20150611,104830,12.72,0.79
20150611,109960,,0.19
20150611,115570,,0.33
20150611,119610,73.16,1.26
20150611,136660,,
20150611,112610,8.29,1.48
20150611,118000,164.5,0.46
20150611,121850,,1.84
20150611,126700,18.44,0.73
20150611,123860,13.9,2.75
20150611,140660,,
20150611,141080,3100.0,9.49
20150611,122640,30.49,2.71
20150611,145995,3.44,0.19
20150611,171010,,1.3
20150611,143540,,1.22
20150611,178600,,
20150611,203400,,14.78
20150611,193250,,0.55
20150611,154040,,0.34
20150611,203450,7.58,0.84
20150611,204630,,0.57
20150611,205100,20.29,1.35
20150611,900070,5.93,0.21
20150611,208890,,
20150611,215360,11.21,0.65
20150611,217880,,
20150612,000070,28.92,0.37
20150612,000545,3.0,0.51
20150612,000227,40.12,1.54
20150611,215200,9.34,0.95
20150612,000650,,4.08
20150611,900110,4.94,0.1
20150612,001527,,2.36
20150612,001065,12.89,2.01
20150612,001515,,1.55
20150612,001810,9.68,0.15
20150612,002230,9.57,0.5
20150612,001000,,4.06
20150612,002070,30.36,0.3
20150612,001630,8.69,0.36
20150612,001380,28.26,0.51
20150612,001525,,1.31
20150612,002785,224.12,2.13
20150612,002787,467.06,4.43
20150612,002820,,0.14
20150612,003090,15.45,0.85
20150612,003960,5.18,0.43
20150612,004100,,0.8
20150612,005257,10.34,1.13
20150612,004545,,2.15
20150612,004105,,1.17
20150612,004920,16.42,1.06
20150612,005710,2.42,0.44
20150612,005750,10.75,0.44
20150612,005430,4.97,0.46
20150612,006570,,0.81
20150612,005870,,0.6
20150612,008355,,5.12
20150612,00781K,,0.58
20150612,007575,22.11,1.01
20150612,014970,,1.7
20150612,008290,,1.12
20150612,007770,,0.28
20150612,011210,9.88,0.4
20150612,018620,,0.83
20150612,025620,,2.59
20150612,025870,,1.4
20150612,025950,72.32,1.23
20150612,021045,,1.35
20150612,028300,,14.18
20150612,018700,,1.06
20150612,032580,,0.84
20150612,031310,,0.24
20150612,032790,,1.27
20150612,031330,8.22,0.82
20150612,033290,4.68,0.29
20150612,034230,17.7,0.86
20150612,032980,,0.83
20150612,033500,19.21,4.26
20150612,035620,,0.47
20150612,036180,,1.89
20150612,036120,14.76,2.33
20150612,035810,12.85,0.38
20150612,036200,26.43,1.26
20150612,036480,,0.77
20150612,036540,,1.49
20150612,038870,,0.55
20150612,038460,40.15,0.51
20150612,038530,,0.54
20150612,040350,,1.23
20150612,041910,17.71,0.63
20150612,041830,12.14,1.24
20150612,039840,,1.13
20150612,041440,24.33,0.7
20150612,042510,31.6,2.2
20150612,043100,,1.14
20150612,043220,,0.61
20150612,048870,,1.02
20150612,042600,,2.17
20150612,043590,,0.47
20150612,044820,8.53,0.56
20150612,045340,7.37,2.08
20150612,047560,,3.37
20150612,049470,,2.96
20150612,049950,,1.19
20150612,054090,,0.52
20150612,050090,,1.47
20150612,054220,,1.05
20150612,051980,,3.5
20150612,065440,13.97,1.07
20150612,065650,,1.47
20150612,061040,,0.35
20150612,054780,,2.17
20150612,064850,16.54,1.53
20150612,065690,2.27,0.21
20150612,063760,,0.27
20150612,065770,,0.99
20150612,066910,,1.15
20150612,068050,,0.7
20150612,067630,,1.61
20150612,067160,8.33,1.83
20150612,067080,458.86,4.1
20150612,069620,21.55,1.93
20150612,068330,16.47,0.97
20150612,073190,,1.57
20150612,083550,,0.32
20150612,072950,6.67,0.5
20150612,078130,,3.31
20150612,078160,,2.96
20150612,089140,,0.2
20150612,084110,44.79,1.32
20150612,087600,,0.44
20150612,092200,23.51,1.72
20150612,089230,,0.97
20150612,090355,11.81,0.63
20150612,092130,15.34,5.06
20150612,088790,12.66,0.23
20150612,084870,,0.43
20150612,094360,39.97,4.11
20150612,095700,,0.94
20150612,097955,15.9,0.29
20150612,101400,,0.58
20150612,106080,,1.2
20150612,102940,,1.45
20150612,101160,14.05,1.3
20150612,119610,73.16,1.26
20150612,122640,30.49,2.71
20150612,114090,20.26,2.09
20150612,104830,12.72,0.79
20150612,179720,,
20150612,126700,18.44,0.73
20150612,134790,,0.59
20150612,140660,,
20150612,141080,3100.0,9.49
20150612,154030,20.96,0.97
20150612,205100,20.29,1.35
20150612,200670,13.76,2.02
20150612,143540,,1.22
20150612,177350,2.72,0.63
20150612,217880,,
20150612,193250,,0.55
20150612,900110,4.94,0.1
20150615,000070,28.92,0.37
20150615,000325,8.6,0.66
20150615,000220,15.92,0.61
20150615,000050,5.7,0.22
20150612,900070,5.93,0.21
20150612,215200,9.34,0.95
20150615,000227,40.12,1.54
20150615,001140,,25.73
20150615,001065,12.89,2.01
20150615,001525,,1.31
20150615,002230,9.57,0.5
20150615,001067,29.19,4.56
20150615,001380,28.26,0.51
20150615,001515,,1.55
20150615,001527,,2.36
20150615,000725,,0.73
20150615,002420,,1.2
20150615,001810,9.68,0.15
20150615,002785,224.12,2.13
20150615,004545,,2.15
20150615,004105,,1.17
20150615,004170,79.7,0.38
20150615,003090,15.45,0.85
20150615,003075,28.45,0.54
20150615,002995,,1.69
20150615,002787,467.06,4.43
20150615,004710,20.03,0.54
20150615,004830,13.01,0.8
20150615,005257,10.34,1.13
20150615,004870,,0.44
20150615,007530,15.54,1.15
