date,code,PER,PBR
20150528,009270,,0.54
20150528,011150,23.97,1.16
20150528,013520,4.04,0.39
20150528,011330,,0.92
20150528,014190,14.86,0.45
20150528,014100,,0.3
20150528,013990,14.39,0.72
20150528,010600,,2.85
20150528,010040,,0.49
20150528,010690,6.9,0.52
20150528,011210,9.88,0.4
20150528,014825,8.69,0.64
20150528,011300,,1.53
20150528,012450,17.9,7.95
20150528,013700,,0.59
20150528,012790,5.98,0.44
20150528,012690,,0.99
20150528,012330,6.47,0.55
20150528,012170,,1.7
20150528,011200,4.48,0.77
20150528,015710,10.98,0.47
20150528,014970,,1.7
20150528,015860,12.95,0.71
20150528,016600,,0.31
20150528,018500,3.2,0.46
20150528,019180,2.89,0.66
20150528,027050,103.41,0.8
20150528,023770,,1.82
20150528,018700,,1.06
20150528,025770,6.79,0.88
20150528,024830,3.05,0.2
20150528,024890,,0.83
20150528,017810,24.95,1.79
20150528,026910,3.39,0.72
20150528,018260,17.38,1.4
20150528,024850,,1.18
20150528,021820,2.34,0.17
20150528,025950,72.32,1.23
20150528,032790,,1.27
20150528,029480,,0.55
20150528,031330,8.22,0.82
20150528,033920,4.85,0.36
20150528,033640,,3.04
20150528,035080,,0.3
20150528,032680,,0.6
20150528,035290,,1.39
20150528,035460,3.73,0.53
20150528,036540,,1.49
20150528,035610,3.62,0.46
20150528,036670,6.41,0.6
20150528,037400,,0.17
20150528,039420,7.99,0.95
20150528,039440,14.42,1.21
20150528,038460,40.15,0.51
20150528,036890,11.64,0.93
20150528,041020,46.14,2.77
20150528,039830,16.0,1.41
20150528,037950,20.64,0.84
20150528,041590,,2.99
20150528,042040,,0.53
20150528,043910,,0.79
20150528,042600,,2.17
20150528,041520,,0.44
20150528,043200,,1.6
20150528,041960,101.55,6.15
20150528,044340,,0.42
20150528,044960,14.84,0.99
20150528,045510,24.76,0.73
20150528,045520,,1.08
20150528,045060,6.35,0.33
20150528,046390,,0.89
20150528,046120,11.74,1.65
20150528,046940,4.93,0.43
20150528,049080,,1.14
20150528,048430,6.31,0.59
20150528,052460,,0.81
20150528,049720,11.16,2.6
20150528,051360,4.2,0.84
20150528,047560,,3.37
20150528,052670,,1.93
20150528,052770,,5.14
20150528,053350,11.5,1.19
20150528,053300,17.46,1.2
20150528,053060,2.76,0.51
20150528,056730,,0.62
20150528,054670,9.0,0.71
20150528,058860,5.96,0.37
20150528,054410,16.75,0.37
20150528,054180,,0.24
20150528,054630,,2.31
20150528,057540,15.37,0.41
20150528,064090,,0.83
20150528,063170,,1.09
20150528,064290,,3.92
20150528,068790,,0.46
20150528,067160,8.33,1.83
20150528,067630,,1.61
20150528,066980,,1.01
20150528,069410,9.56,0.87
20150528,067080,458.86,4.1
20150528,066410,17.47,0.67
20150528,069460,15.03,1.28
20150528,069920,,1.01
20150528,071850,,0.58
20150528,072470,,0.5
20150528,078520,16.51,2.68
20150528,072770,,1.71
20150528,080580,,4.34
20150528,083650,25.34,8.47
20150528,080530,35.5,1.12
20150528,083550,,0.32
20150528,084870,,0.43
20150528,084680,,0.83
20150528,085310,,0.56
20150528,086390,,3.12
20150528,090360,,8.52
20150528,089470,5.57,0.29
20150528,089790,,0.7
20150528,090435,23.11,0.56
20150528,090370,,0.57
20150528,086980,,1.27
20150528,091440,,1.7
20150528,101490,32.46,4.4
20150528,104200,,0.65
20150528,109960,,0.19
20150528,096760,7.28,1.04
20150528,106520,,0.92
20150528,102460,,0.83
20150528,113810,9.07,1.21
20150528,105550,19.4,0.92
20150528,106080,,1.2
20150528,114090,20.26,2.09
20150528,114630,11.97,0.31
20150528,123840,,0.41
20150528,120240,9.74,0.5
20150528,128820,,0.25
20150528,123690,41.3,5.0
20150528,136660,,
20150528,134060,11.33,0.69
20150528,124500,25.49,4.84
20150528,129260,4.75,0.25
20150528,138360,4.03,0.78
20150528,160550,,0.64
20150528,140410,,52.34
20150528,149980,,1.16
20150528,151860,4.71,0.16
20150528,140520,,0.3
20150528,179720,,
20150528,145210,,0.78
20150528,177350,2.72,0.63
20150528,173940,,1.8
20150528,185190,,
20150528,192400,7.74,0.69
20150528,189350,,
20150528,183490,,0.51
20150528,195990,,1.44
20150528,189690,12.63,0.74
20150528,203450,7.58,0.84
20150528,196170,299.32,82.81
20150528,200230,,0.69
20150528,182360,15.25,1.2
20150528,206640,12.12,1.3
20150528,208890,,
20150528,217880,,
20150528,900110,4.94,0.1
20150528,215480,,0.61
20150529,000910,,0.75
20150529,000950,1.68,0.17
20150529,000140,5.37,0.37
20150529,000300,0.82,4.83
20150529,000100,116.82,4.02
20150529,001390,5.25,0.33
20150529,001080,,0.87
20150529,002630,,0.99
20150529,002920,,0.18
20150529,002990,,0.52
20150529,001360,1.43,0.7
20150529,002720,13.72,0.9
20150529,002820,,0.14
20150529,003090,15.45,0.85
20150529,000970,10.87,0.41
20150529,004140,10.37,0.76
20150529,003120,26.09,0.41
20150529,004540,,0.36
20150529,004770,12.69,0.65
20150529,004490,5.7,0.5
20150529,004835,18.81,1.16
20150529,004560,12.19,0.32
20150529,004870,,0.44
20150529,005387,4.61,0.46
20150529,005389,4.57,0.46
20150529,005380,6.22,0.62
20150529,005860,23.8,0.77
20150529,006340,22.26,2.65
20150529,005725,3.63,0.17
20150529,006280,20.37,1.15
20150529,006390,6.63,0.8
20150529,007860,2.5,0.24
20150529,007370,2.32,0.5
20150529,007810,,1.69
20150529,007720,,0.77
20150529,008250,,0.24
20150529,007390,,25.1
20150529,011330,,0.92
20150529,010600,,2.85
20150529,009270,,0.54
20150529,008930,43.97,3.02
20150529,011200,4.48,0.77
20150529,010690,6.9,0.52
20150529,011150,23.97,1.16
20150529,011000,,2.78
20150529,011210,9.88,0.4
20150529,011930,,1.52
20150529,012690,,0.99
20150529,016090,7.61,0.27
20150529,014200,,0.57
20150529,012790,5.98,0.44
20150529,015710,10.98,0.47
20150529,015860,12.95,0.71
20150529,012170,,1.7
20150529,013990,14.39,0.72
20150529,014825,8.69,0.64
20150529,015020,,0.55
20150529,020120,,0.66
20150529,021820,2.34,0.17
20150529,017890,7.07,0.36
20150529,019180,2.89,0.66
20150529,018670,9.26,0.83
20150529,018880,,1.06
20150529,018470,12.81,0.78
20150529,018260,17.38,1.4
20150529,019660,,2.75
20150529,024890,,0.83
20150529,024830,3.05,0.2
20150529,027970,774.0,0.33
20150529,030960,,0.64
20150529,027050,103.41,0.8
20150529,024850,,1.18
20150529,025750,,0.4
20150529,029530,12.84,0.37
20150529,029480,,0.55
20150529,025770,6.79,0.88
20150529,024940,19.23,0.92
20150529,031330,8.22,0.82
20150529,035460,3.73,0.53
20150529,036220,,0.62
20150529,035600,8.33,0.56
20150529,035610,3.62,0.46
20150529,033640,,3.04
20150529,032350,,4.16
20150529,033250,5.45,0.77
20150529,036620,16.88,4.31
20150529,036670,6.41,0.6
20150529,037330,,0.3
20150529,037270,38.7,2.37
20150529,038460,40.15,0.51
20150529,036890,11.64,0.93
20150529,038530,,0.54
20150529,039980,23.52,1.57
20150529,039440,14.42,1.21
20150529,039830,16.0,1.41
20150529,037350,4.2,0.22
20150529,037400,,0.17
20150529,043370,4.87,0.27
20150529,042040,,0.53
20150529,043200,,1.6
20150529,041020,46.14,2.77
20150529,042370,45.61,0.93
20150529,042600,,2.17
20150529,041520,,0.44
20150529,043220,,0.61
20150529,041590,,2.99
20150529,045060,6.35,0.33
20150529,045520,,1.08
20150529,046390,,0.89
20150529,046940,4.93,0.43
20150529,047560,,3.37
20150529,049080,,1.14
20150529,044340,,0.42
20150529,049720,11.16,2.6
20150529,051360,4.2,0.84
20150529,046120,11.74,1.65
20150529,053060,2.76,0.51
20150529,054300,10.65,0.89
20150529,052770,,5.14
20150529,053300,17.46,1.2
20150529,053350,11.5,1.19
20150529,054670,9.0,0.71
20150529,052420,7.04,0.51
20150529,054180,,0.24
20150529,052460,,0.81
20150529,057540,15.37,0.41
20150529,064090,,0.83
20150529,064850,16.54,1.53
20150529,058860,5.96,0.37
20150529,063760,,0.27
20150529,064480,,1.25
20150529,064240,,0.87
20150529,060720,18.13,1.04
20150529,060250,14.67,2.08
20150529,064260,,1.76
20150529,064290,,3.92
20150529,067770,26.19,0.4
20150529,067630,,1.61
20150529,067160,8.33,1.83
20150529,072470,,0.5
20150529,067080,458.86,4.1
20150529,066980,,1.01
20150529,071850,,0.58
20150529,071950,,
20150529,078140,8.96,0.94
20150529,073240,5.54,0.85
20150529,083790,,1.67
20150529,083650,25.34,8.47
20150529,080530,35.5,1.12
20150529,078520,16.51,2.68
20150529,083640,,0.29
20150529,079950,,0.58
20150529,084680,,0.83
20150529,080580,,4.34
20150529,084650,,0.87
20150529,083550,,0.32
20150529,085310,,0.56
20150529,084870,,0.43
20150529,086980,,1.27
20150529,086890,5.87,1.65
20150529,085670,13.12,1.19
20150529,089140,,0.2
20150529,084990,,1.61
20150529,089030,260.34,10.5
20150529,088130,21.32,0.44
20150529,089230,,0.97
20150529,090370,,0.57
20150529,089470,5.57,0.29
20150529,091440,,1.7
20150529,089790,,0.7
20150529,090410,33.08,0.45
20150529,093370,,3.24
