date,code,listing_status,sector_code,market_cap,shares_out,tust_net_amt,total_equity,total_assets,us10y_yield,kr10y_yield,announce_date,ex_div_date,earnings_date,theme_code,theme_name
20251205,005930,Listed,,641688750744800.0,5919637922.0,0.0,4403893000000.0,523659586000000.0,,0.0,20251114,,,,
20251205,000660,Listed,,396033286560000.0,728002365.0,0.0,4756764000000.0,148435030000000.0,,0.0,20251114,,,,
