재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_ShortTermDueToCustomersForContractWork	      초과청구공사	0	0	1,063,870,596
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CurrentTaxLiabilities	      당기법인세부채	64,135,832	88,357,745	73,032,269
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ShorttermBorrowings	      단기차입금	7,489,000,000	8,930,473,470	8,264,459,082
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CurrentPortionOfLongtermBorrowings	      유동성장기부채	0	740,000,000	771,800,000
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_CurrentPortionOfConvertibleBonds	      전환사채	1,592,236,212	1,579,180,471	0
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CurrentLeaseLiabilities	      리스부채	333,052,519		
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_CurrentProvisionsForConstructionWarranties	      하자보수충당부채	359,823,966	359,823,966	201,094,316
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OtherCurrentLiabilities	      기타유동부채	2,029,410,159	2,868,321,393	32,781,160
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_NoncurrentLiabilities	   비유동부채	2,773,383,669	1,736,120,970	6,229,576,743
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_LongTermBorrowingsGross	      장기차입금	2,500,000,000	1,679,950,000	2,490,850,000
