Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,"■ 영웅문4(HTS) - 키움 REST API, 키움 OPEN API + TR 매칭",,,
,,,,
,업데이트 일자  ,2025.11.06,,
,공식 홈페이지 주소,https://openapi.kiwoom.com/,,
,,,,
,영웅문4 화면번호,영웅문4 화면명,키움 REST API,키움 OPEN API + 
,0291,ELW종목상세정보,"ka10001 주식기본정보요청
ka30012 ELW종목상세정보요청","OPT10001 주식기본정보요청
OPT30012 ELW종목정보상세요청"
,0292,ELW투자지표,ka10001 주식기본정보요청,OPT10001 주식기본정보요청
,0293,ELW등락률순위,ka30009 ELW등락율순위요청,OPT30009 ELW등락율순위요청
,0294,ELW잔량순위,ka30010 ELW잔량순위요청,OPT30010 ELW잔량순위요청
,0295,ELW거래량순위,"ka10001 주식기본정보요청
ka10050 ELW민감도지표요청","OPT10001 주식기본정보요청
OPT30008 ELW민감도지표요청"
,0296,ELW시세현황,ka30012 ELW종목상세정보요청,OPT30007 ELW종목상세요청
,0299,ELW민감도지표,ka10050 ELW민감도지표요청,"OPT30008 ELW민감도지표요청
OPT10050 ELW민감도지표요청"
,0328,일자별 종목별 실현손익,"ka10072 일자별종목별실현손익요청_일자
ka10073 일자별종목별실현손익요청_기간","OPT10072 일자별종목별실현손익요청
OPT10073 일자별종목별실현손익요청"
,0329,일자별실현손익,ka10074 일자별실현손익요청,OPT10074 일자별실현손익요청
,0341,실시간계좌관리 - 실시간 미체결,ka10075 미체결요청,OPT10075 실시간미체결요청
,0350,체결확인(당일),ka10076 체결요청,OPT10076 실시간체결요청
,0355,실현손익 - 당일실현손익상세,ka10077 당일실현손익상세요청,OPT10077 당일실현손익상세요청
,0612,미니TICK차트,ka10079 주식틱차트조회요청,OPT10079 주식틱차트조회요청
,6600,통합키움차트,"ka10081 주식일봉차트조회요청
ka10082 주식주봉차트조회요청
ka10083 주식월봉차트조회요청","OPT10081 주식일봉차트조회요청
OPT10082 주식주봉차트조회요청
OPT10083 주식월봉차트조회요청"
,0613,주식일주월차트,"ka10081 주식일봉차트조회요청
ka10082 주식주봉차트조회요청
ka10083 주식월봉차트조회요청","OPT10081 주식일봉차트조회요청
OPT10082 주식주봉차트조회요청
OPT10083 주식월봉차트조회요청"
