REST코드 | 요청명 | 영웅문4 TR코드
ka90002 | 테마구성종목요청 | 0651
ka90003 | 프로그램순매수상위50요청 | 0766
ka90004 | 종목별프로그램매매현황요청 | 0767
ka90005 | 프로그램매매추이요청 시간대별 | 0768
ka90006 | 프로그램매매차익잔고추이요청 | 0773
ka90007 | 프로그램매매누적추이요청 | 0777
ka90008 | 종목시간별프로그램매매추이요청 | -
ka90009 | 외국인기관매매상위요청 | 0785
ka90010 | 프로그램매매추이요청 일자별 | -
ka90012 | 대차거래내역요청 | 1060
ka90013 | 종목일별프로그램매매추이요청 | -
