field_name
$/온스
0120
0122
0124
0125
0126
0127
0129
0141
0142
0143
0161
0162
0163
0164
0165
0166
0167
0168
0169
0170
0171
0178
0181
0182
0183
0184
0185
0186
0188
0193
0198
0202
0208
0209
0211
0213
0214
0240
0242
0243
0244
0246
0248
0250
0251
0252
0254
0256
0257
0258
0272
0273
0275
0277
0278
0279
0285
0286
0287
0289
0290
0291
0292
0293
0294
0295
0296
0298
0299
0309
0328
0329
0341
0345
0346
0347
0348
0349
0350
0351
0352
0353
0354
0355
0361
0362
0366
0391
0392
0393
0397
0399
0489
0612
0613
0615
0617
0619
0620
0650
0651
0763
0766
0767
0768
0769
0773
0774
0777
0778
0785
0795
0796
0797
0798
0799
0879
1052
1053
1054
1060
1061
1062
1304
1365
1690
2025
6600
API
ELW
ELWLP
ETF
HTS
OPEN
OPT10001
OPT10003
OPT10008
OPT10011
OPT10013
OPT10014
OPT10015
OPT10016
OPT10017
OPT10018
OPT10019
OPT10020
OPT10022
OPT10023
OPT10024
OPT10025
OPT10026
OPT10027
OPT10028
OPT10029
OPT10030
OPT10031
OPT10032
OPT10033
OPT10034
OPT10035
OPT10036
OPT10037
OPT10038
OPT10039
OPT10040
OPT10041
OPT10042
OPT10044
OPT10045
OPT10046
OPT10048
OPT10050
OPT10051
OPT10052
OPT10054
OPT10055
OPT10058
OPT10059
OPT10060
OPT10061
OPT10062
OPT10063
OPT10064
OPT10065
OPT10066
OPT10067
OPT10068
OPT10069
OPT10070
OPT10071
OPT10072
OPT10073
OPT10074
OPT10075
OPT10076
OPT10077
OPT10078
OPT10079
OPT10080
OPT10081
OPT10082
OPT10083
OPT10084
OPT10085
OPT10086
OPT10098
OPT10131
OPT10170
OPT20001
OPT20002
OPT20003
OPT20068
OPT30001
OPT30002
OPT30003
OPT30004
OPT30005
OPT30007
OPT30008
OPT30009
OPT30010
OPT30011
OPT30012
OPT40001
OPT40002
OPT40003
OPT40004
OPT40005
OPT40007
OPT40008
OPT50008
OPT90001
OPT90002
OPT90003
OPT90004
OPT90005
OPT90006
OPT90007
OPT90008
OPT90009
OPT90010
OPTKWFID
OPW00001
OPW00002
OPW00003
OPW00004
OPW00005
OPW00007
OPW00008
OPW00009
OPW00010
OPW00011
OPW00012
OPW00013
OPW00014
OPW00015
OPW00016
OPW00017
OPW00018
OPW20016
PER
PER_
REST
TICK
VI
com
https
ka00198
ka01690
ka10001
ka10003
ka10008
ka10011
ka10013
ka10014
ka10015
ka10016
ka10017
ka10018
ka10019
ka10020
ka10022
ka10023
ka10024
ka10025
ka10026
ka10027
ka10028
ka10029
ka10030
ka10031
ka10032
ka10033
ka10034
ka10035
ka10036
ka10037
ka10038
ka10039
ka10040
ka10042
ka10043
ka10044
ka10045
ka10046
ka10048
ka10050
ka10051
ka10052
ka10053
ka10054
ka10055
ka10058
ka10059
ka10060
ka10061
ka10062
ka10063
ka10064
ka10065
ka10066
ka10068
ka10069
ka10072
ka10073
ka10074
ka10075
ka10076
ka10077
ka10078
ka10079
ka10080
ka10081
ka10082
ka10083
ka10084
ka10085
ka10086
ka10098
ka10131
ka10170
ka20001
ka20002
ka20003
ka20004
ka20005
ka20006
ka20007
ka20008
ka20019
ka20068
ka30001
ka30002
ka30003
ka30004
ka30005
ka30009
ka30010
ka30011
ka30012
ka40001
ka40002
ka40003
ka40004
ka40007
ka40009
ka50010
ka50012
ka50079
ka50080
ka50081
ka50082
ka50083
ka50087
ka50091
ka50092
ka50100
ka50101
ka52301
ka90001
ka90002
ka90003
ka90004
ka90005
ka90006
ka90007
ka90009
ka90012
kiwoom
kt00001
kt00002
kt00003
kt00004
kt00005
kt00007
kt00008
kt00009
kt00010
kt00011
kt00012
kt00013
kt00015
kt00016
kt00017
kt00018
kt20016
kt50000
kt50001
kt50002
kt50003
kt50020
kt50021
kt50030
kt50031
kt50032
kt50075
nan
openapi
거래원매물대분석
당일
당일주요거래원
원/g
잠정
종목별
종목별_증거금률별
증권사별매매상위
테마그룹별
합산
