date,code,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,005930,00126380,2016,11013,20170331,49782252000000.0,6675812000000.0,5252803000000.0,36356.0,241239789000000.0,178326186000000.0,8718290000000.0,-2390665000000.0,-4261569000000.0,3921000000.0
20160630,005930,00126380,2016,11012_Q,20170331,50937120000000.0,8143950000000.0,5847393000000.0,40910.0,243960673000000.0,181842516000000.0,13344845000000.0,-7786329000000.0,-4506919000000.0,2920603000000.0
20160930,005930,00126380,2016,11014_Q,20170331,47815633000000.0,5200089000000.0,4537855000000.0,31462.0,244471456000000.0,179536379000000.0,14336597000000.0,-12180872000000.0,-1491940000000.0,149658000000.0
20161231,005930,00126380,2016,11011_Q,20170331,53331740000000.0,9220821000000.0,7088041000000.0,49239.0,262174324000000.0,192963033000000.0,10985912000000.0,-7300809000000.0,1590914000000.0,40560000000.0
