date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,016790,Q1,00164618,2016,11013,,,,,,,,,,,
20160630,016790,Q2,00164618,2016,11012,,,,,,,,,,,
20160930,016790,Q3,00164618,2016,11014,,,,,,,,,,,
20161231,016790,Q4,00164618,2016,11011,,,,,,,,,,,
20170331,016790,Q1,00164618,2017,11013,,,,,,,,,,,
20170630,016790,Q2,00164618,2017,11012,,,,,,,,,,,
20170930,016790,Q3,00164618,2017,11014,,,,,,,,,,,
20171231,016790,Q4,00164618,2017,11011,,,,,,,,,,,
20180331,016790,Q1,00164618,2018,11013,,,,,,,,,,,
20180630,016790,Q2,00164618,2018,11012,,24020508074.0,351885309.0,-994374595.0,,91776454651.0,56913600307.0,,,,
20180930,016790,Q3,00164618,2018,11014,,26494198654.0,-545332584.0,-553656811.0,,94022339188.0,56359943496.0,,,,
20181231,016790,Q4,00164618,2018,11011,,104831272691.0,1281685007.0,-549836218.0,,94051474387.0,56825988897.0,,,,100.0
20190331,016790,Q1,00164618,2019,11013,,28997534896.0,1177690796.0,698969155.0,,97668840562.0,56909909452.0,,,,
20190630,016790,Q2,00164618,2019,11012,,30380024876.0,2713941329.0,1743340469.0,,101548502356.0,58653249921.0,,,,
20190930,016790,Q3,00164618,2019,11014,,28199211055.0,1196974768.0,-276384338.0,,112867993001.0,58376865583.0,,,,
20191231,016790,Q4,00164618,2019,11011,,118172501966.0,6132968653.0,3244666622.0,,97377192381.0,59455606919.0,,,,100.0
20200331,016790,Q1,00164618,2020,11013,,27973261285.0,1396534300.0,-60235553.0,,108281364731.0,58780322766.0,,,,
20200630,016790,Q2,00164618,2020,11012,,27270619863.0,572535966.0,1122669720.0,,119533191326.0,59902992486.0,,,,
20200930,016790,Q3,00164618,2020,11014,,26019371459.0,-3113674709.0,-2024924022.0,,109089964685.0,57878068464.0,,,,
20201231,016790,Q4,00164618,2020,11011,,107476952397.0,-478491152.0,127888536.0,,98205425179.0,58968446855.0,,,,100.0
20210331,016790,Q1,00164618,2021,11013,,23093213915.0,-741547393.0,-760657380.0,,95448084022.0,57592740875.0,,,,
20210630,016790,Q2,00164618,2021,11012,,25164914145.0,-2005980451.0,-1195221398.0,,98379295409.0,56397519477.0,,,,
20210930,016790,Q3,00164618,2021,11014,,28437252094.0,3743615968.0,1739102350.0,,95906303418.0,58136621827.0,,,,
20211231,016790,Q4,00164618,2021,11011,,110306014605.0,1249658669.0,-725293232.0,,93774078078.0,57628105023.0,,,,100.0
20220331,016790,Q1,00164618,2022,11013,,33135551575.0,1560920427.0,379549872.0,,112185533482.0,57392606295.0,,,,
20220630,016790,Q2,00164618,2022,11012,,36765933328.0,-308547668.0,-1613935946.0,,119392124149.0,55778670349.0,,,,
20220930,016790,Q3,00164618,2022,11014,,72669874360.0,180580973.0,-5871318047.0,-90.0,523280062404.0,339818609372.0,4666706650.0,-19677496340.0,23708283379.0,
20221231,016790,Q4,00164618,2022,11011,,158095623136.0,-2154877028.0,-282751126119.0,-7669.34,271271848824.0,42371457438.0,-2540814319.0,-43152649992.0,47046556232.0,
20230331,016790,Q1,00164618,2023,11013,,43604749880.0,-1285211687.0,-4152573444.0,-88.61,266551053354.0,23466006067.0,-8813368612.0,5327140039.0,-227656534.0,
20230630,016790,Q2,00164618,2023,11012,,41384279304.0,-4125948938.0,-12889263809.0,-275.0,265157430032.0,12238904026.0,-8605975739.0,3110061113.0,3219085205.0,
20230930,016790,Q3,00164618,2023,11014,,36640604239.0,-3110537458.0,-912144076.0,-5.0,273332179620.0,48148042740.0,-13110535894.0,319224272.0,15695552259.0,
20231231,016790,Q4,00164618,2023,11011,,160600796744.0,-9612022305.0,-217652242667.0,-1390.0,108355384775.0,-72225701823.0,-7908995453.0,-11273728368.0,24520644097.0,
20240331,016790,Q1,00164618,2024,11013,,35213625054.0,-9944594578.0,-11749692637.0,-63.0,118877023870.0,-56157249310.0,-5485471909.0,128348989.0,-2741839988.0,
20240630,016790,Q2,00164618,2024,11012,,31589844762.0,629478098.0,51309736622.0,,101143133431.0,74258816001.0,,,,
20240930,016790,Q3,00164618,2024,11014,,30452542280.0,51897203.0,1322248520.0,,101319008442.0,75965494844.0,,,,
20241231,016790,Q4,00164618,2024,11011,,128461963646.0,2656039214.0,28440597779.0,,116984016551.0,88931121555.0,,,,0.0
20250331,016790,Q1,00164618,2025,11013,,27829206876.0,3079198187.0,2844168346.0,,109241705534.0,83527554957.0,,,,
20250630,016790,Q2,00164618,2025,11012,,27057586750.0,-253832229.0,14208069.0,0.1,105489817839.0,77316769933.0,10947402087.0,-5368630566.0,-137399816.0,
20250930,016790,Q3,00164618,2025,11014,,27017793807.0,460985704.0,162869736.0,1.0,103521548387.0,76123323950.0,11811906816.0,-6127807470.0,-266345562.0,
20251231,016790,Q4,00164618,2025,11011,,,,,,,,,,,
