date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,002690,Q1,00118451,2016,11013,,22886032792.0,495758714.0,481581612.0,,149381742081.0,129079887874.0,,,,
20160630,002690,Q2,00118451,2016,11012,,25542016091.0,2161666293.0,1612256774.0,,146604893837.0,129190420827.0,,,,
20160930,002690,Q3,00118451,2016,11014,,22671024226.0,495028373.0,468678982.0,,145925612050.0,129591680259.0,,,,
20161231,002690,Q4,00118451,2016,11011,,94746657588.0,5556553605.0,4750613674.0,,146805325293.0,131008116556.0,,,,20.0
20170331,002690,Q1,00118451,2017,11013,,28123575702.0,1764611023.0,1456985288.0,,151132529734.0,132074561488.0,,,,
20170630,002690,Q2,00118451,2017,11012,,26009471618.0,482985035.0,523806759.0,,152654234391.0,132681100787.0,,,,
20170930,002690,Q3,00118451,2017,11014,,26453416938.0,-588844236.0,-304217605.0,,150344591154.0,131981977058.0,,,,
20171231,002690,Q4,00118451,2017,11011,,107580544787.0,1059483800.0,1371232839.0,,150176956541.0,131302941990.0,,,,10.0
20180331,002690,Q1,00118451,2018,11013,,29575336553.0,380410919.0,33613172.0,,152041604241.0,131162660681.0,,,,
20180630,002690,Q2,00118451,2018,11012,,32773213981.0,415808202.0,581140426.0,,154605361970.0,132903103563.0,,,,
20180930,002690,Q3,00118451,2018,11014,,28979541017.0,-914886091.0,-625876357.0,,150092971395.0,132035929182.0,,,,
20181231,002690,Q4,00118451,2018,11011,,124025425025.0,-278900491.0,135420582.0,,150230846182.0,130894742382.0,,,,0.0
20190331,002690,Q1,00118451,2019,11013,,30764225392.0,72479765.0,159390400.0,,149208885426.0,132191966674.0,,,,
20190630,002690,Q2,00118451,2019,11012,,33580662072.0,509303022.0,490142941.0,,150096531347.0,131844835619.0,,,,
20190930,002690,Q3,00118451,2019,11014,,31557147256.0,-530948970.0,-288023035.0,,146937520183.0,130586433491.0,,,,
20191231,002690,Q4,00118451,2019,11011,,127370149694.0,984969586.0,1116855554.0,,147022929971.0,130549353821.0,,,,10.0
20200331,002690,Q1,00118451,2020,11013,,30073722149.0,-514203187.0,-241260670.0,,146324896472.0,129028846684.0,,,,
20200630,002690,Q2,00118451,2020,11012,,31943121269.0,1092614119.0,711056903.0,,149688230871.0,130594352435.0,,,,
20200930,002690,Q3,00118451,2020,11014,,27364368367.0,-527885567.0,-665557685.0,,144683196848.0,128890386320.0,,,,
20201231,002690,Q4,00118451,2020,11011,,122912620214.0,-127294572.0,303734525.0,,148570301657.0,129796387575.0,,,,0.0
20210331,002690,Q1,00118451,2021,11013,,37758321524.0,1317711622.0,1297037606.0,,156288908279.0,133339036975.0,,,,
20210630,002690,Q2,00118451,2021,11012,,47370947186.0,3882251959.0,3276352221.0,,161429216834.0,137645880268.0,,,,
20210930,002690,Q3,00118451,2021,11014,,47496146987.0,2277322486.0,2512196886.0,,167120702325.0,139771643002.0,,,,
20211231,002690,Q4,00118451,2021,11011,,182235773870.0,7872984392.0,8250673190.0,,180512781409.0,153548172626.0,,,,20.0
20220331,002690,Q1,00118451,2022,11013,,49172132984.0,3913793974.0,3244280949.0,,190740780134.0,162644096499.0,,,,
20220630,002690,Q2,00118451,2022,11012,,58187752550.0,2889315978.0,2442727269.0,,188681772345.0,161007796608.0,,,,
20220930,002690,Q3,00118451,2022,11014,,43430751098.0,-3915264773.0,-8453130278.0,,178384536627.0,150987461158.0,,,,
20221231,002690,Q4,00118451,2022,11011,,196757615383.0,2456929950.0,3345149095.0,,179708719037.0,157680471138.0,,,,10.0
20230331,002690,Q1,00118451,2023,11013,,50249164881.0,42520168.0,104849415.0,,181070029416.0,156576599099.0,,,,
20230630,002690,Q2,00118451,2023,11012,,47320138391.0,-211488617.0,229203884.0,,178896373328.0,157293480681.0,,,,
20230930,002690,Q3,00118451,2023,11014,,38938313273.0,-1125262115.0,-4942962274.0,,175514394128.0,152584086008.0,,,,
20231231,002690,Q4,00118451,2023,11011,,180812604441.0,-2912558609.0,-3159795782.0,,179232275038.0,153236014334.0,,,,
20240331,002690,Q1,00118451,2024,11013,,42915673539.0,-775906761.0,-245827543.0,,175949210011.0,155783104760.0,,,,
20240630,002690,Q2,00118451,2024,11012,,37957585384.0,-604934871.0,1252026864.0,,172118724266.0,154125937805.0,,,,
20240930,002690,Q3,00118451,2024,11014,,35352876465.0,-2495093907.0,-1585276424.0,,175995171785.0,156624962101.0,,,,
20241231,002690,Q4,00118451,2024,11011,,151116114567.0,-5798526499.0,-483718262.0,,171801171723.0,153656469741.0,,,,0.0
20250331,002690,Q1,00118451,2025,11013,,40781166569.0,-150886237.0,415198024.0,,172722647135.0,153483841968.0,,,,
20250630,002690,Q2,00118451,2025,11012,,38460464729.0,-146062408.0,1495039710.0,,176066493655.0,155697335430.0,,,,
20250930,002690,Q3,00118451,2025,11014,,36904616448.0,-441450934.0,5199084305.0,,182987704830.0,161549559509.0,,,,
20251231,002690,Q4,00118451,2025,11011,,,,,,,,,,,
