date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,003450,Q1,00164876,2016,11013,,,,,,,,,,,
20160630,003450,Q2,00164876,2016,11012,,,,,,,,,,,
20160930,003450,Q3,00164876,2016,11014,,,,,,,,,,,
20161231,003450,Q4,00164876,2016,11011,,,,,,,,,,,
20170331,003450,Q1,00164876,2017,11013,,,,,,,,,,,
20170630,003450,Q2,00164876,2017,11012,,,,,,,,,,,
20170930,003450,Q3,00164876,2017,11014,,,,,,,,,,,
20171231,003450,Q4,00164876,2017,11011,,,,,,,,,,,
20180331,003450,Q1,00164876,2018,11013,,,,,,,,,,,
20180630,003450,Q2,00164876,2018,11012,,,,,,,,,,,
20180930,003450,Q3,00164876,2018,11014,,,,,,,,,,,
20181231,003450,Q4,00164876,2018,11011,,,,,,,,,,,
20190331,003450,Q1,00164876,2019,11013,,,,,,,,,,,
20190630,003450,Q2,00164876,2019,11012,,,,,,,,,,,
20190930,003450,Q3,00164876,2019,11014,,,,,,,,,,,
20191231,003450,Q4,00164876,2019,11011,,,,,,,,,,,
20200331,003450,Q1,00164876,2020,11013,,,,,,,,,,,
20200630,003450,Q2,00164876,2020,11012,,,,,,,,,,,
20200930,003450,Q3,00164876,2020,11014,,,,,,,,,,,
20201231,003450,Q4,00164876,2020,11011,,,,,,,,,,,
20210331,003450,Q1,00164876,2021,11013,,,,,,,,,,,
20210630,003450,Q2,00164876,2021,11012,,,,,,,,,,,
20210930,003450,Q3,00164876,2021,11014,,,,,,,,,,,
20211231,003450,Q4,00164876,2021,11011,,,,,,,,,,,
20220331,003450,Q1,00164876,2022,11013,,,,,,,,,,,
20220630,003450,Q2,00164876,2022,11012,,,,,,,,,,,
20220930,003450,Q3,00164876,2022,11014,,,,,,,,,,,
20221231,003450,Q4,00164876,2022,11011,,,,,,,,,,,
20230331,003450,Q1,00164876,2023,11013,,,,,,,,,,,
20230630,003450,Q2,00164876,2023,11012,,,,,,,,,,,
20230930,003450,Q3,00164876,2023,11014,,8709142661386.0,611315309419.0,365545225657.0,,60074416246276.0,6219556854872.0,-4608617300817.0,-443015407976.0,4476980197845.0,
20231231,003450,Q4,00164876,2023,11011,,11585140110750.0,680154124492.0,388027837060.0,,61266919885963.0,6296032018467.0,-6576757635549.0,46018398855.0,5901429713859.0,
20240331,003450,Q1,00164876,2024,11013,,3460113568382.0,253336970335.0,198853334420.0,,62952100953510.0,6481236213678.0,1940559505858.0,-568030139278.0,-1480978234530.0,
20240630,003450,Q2,00164876,2024,11012,,2273350461750.0,243362388619.0,180614095653.0,,62498534772458.0,6668804561683.0,2592797064254.0,-1304230099172.0,-1343886336759.0,
20240930,003450,Q3,00164876,2024,11014,,2341118863691.0,238775113879.0,173148697997.0,,63205045385117.0,6824963747091.0,1235599441848.0,-1331187506603.0,117400510072.0,
20241231,003450,Q4,00164876,2024,11011,,10832030725214.0,780786477208.0,590360820309.0,,63390535353603.0,6888329676356.0,-743594853641.0,-1495306360949.0,2391258285718.0,
20250331,003450,Q1,00164876,2025,11013,,2988287253090.0,224610646710.0,181703170501.0,,67022595930311.0,6771677601208.0,2553360877226.0,-977850546868.0,-1448954987439.0,
20250630,003450,Q2,00164876,2025,11012,,3216536507299.0,218043591068.0,160657558166.0,,71130450894822.0,6901108302564.0,1842202349022.0,-2106598428232.0,400222259015.0,
20250930,003450,Q3,00164876,2025,11014,,2746466777517.0,225264428456.0,160066792982.0,,75795564826903.0,7022086610369.0,-965262224356.0,-2281069959058.0,3245510457365.0,
20251231,003450,Q4,00164876,2025,11011,,,,,,,,,,,
