date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,000030,Q1,00254045,2016,11013,,,,,,,,,,,
20160630,000030,Q2,00254045,2016,11012,,,,,,,,,,,
20160930,000030,Q3,00254045,2016,11014,,,,,,,,,,,
20161231,000030,Q4,00254045,2016,11011,,,,,,,,,,,400.0
20170331,000030,Q1,00254045,2017,11013,,,,,,,,,,,
20170630,000030,Q2,00254045,2017,11012,,,,,,,,,,,100.0
20170930,000030,Q3,00254045,2017,11014,,,,,,,,,,,
20171231,000030,Q4,00254045,2017,11011,,,,,,,,,,,500.0
20180331,000030,Q1,00254045,2018,11013,,,,,,,,,,,
20180630,000030,Q2,00254045,2018,11012,,,,,,,,,,,
20180930,000030,Q3,00254045,2018,11014,,,,,,,,,,,
20181231,000030,Q4,00254045,2018,11011,,,,,,,,,,,650.0
20190331,000030,Q1,00254045,2019,11013,,,,,,,,,,,
20190630,000030,Q2,00254045,2019,11012,,,,,,,,,,,
20190930,000030,Q3,00254045,2019,11014,,,,,,,,,,,
20191231,000030,Q4,00254045,2019,11011,,,,,,,,,,,
20200331,000030,Q1,00254045,2020,11013,,,,,,,,,,,
20200630,000030,Q2,00254045,2020,11012,,,,,,,,,,,
20200930,000030,Q3,00254045,2020,11014,,,,,,,,,,,
20201231,000030,Q4,00254045,2020,11011,,,,,,,,,,,
20210331,000030,Q1,00254045,2021,11013,,,,,,,,,,,
20210630,000030,Q2,00254045,2021,11012,,,,,,,,,,,
20210930,000030,Q3,00254045,2021,11014,,,,,,,,,,,
20211231,000030,Q4,00254045,2021,11011,,,,,,,,,,,
20220331,000030,Q1,00254045,2022,11013,,,,,,,,,,,
20220630,000030,Q2,00254045,2022,11012,,,,,,,,,,,
20220930,000030,Q3,00254045,2022,11014,,,,,,,,,,,
20221231,000030,Q4,00254045,2022,11011,,,,,,,,,,,
20230331,000030,Q1,00254045,2023,11013,,,,,,,,,,,
20230630,000030,Q2,00254045,2023,11012,,,,,,,,,,,
20230930,000030,Q3,00254045,2023,11014,,271979000000.0,3043487000000.0,2298012000000.0,,447389163000000.0,26219566000000.0,-4177522000000.0,-1002972000000.0,-2770347000000.0,
20231231,000030,Q4,00254045,2023,11011,,1103298000000.0,3316958000000.0,2515080000000.0,,458017066000000.0,26703452000000.0,2777065000000.0,-1777254000000.0,-3961133000000.0,
20240331,000030,Q1,00254045,2024,11013,,309917000000.0,1076844000000.0,791989000000.0,,464600506000000.0,26333440000000.0,-681163000000.0,2499515000000.0,-2546862000000.0,
20240630,000030,Q2,00254045,2024,11012,,305802000000.0,1157726000000.0,886828000000.0,,468915086000000.0,27263642000000.0,-5866954000000.0,939148000000.0,-1862291000000.0,
20240930,000030,Q3,00254045,2024,11014,,312900000000.0,1091362000000.0,851824000000.0,,501761489000000.0,28923387000000.0,-8376331000000.0,5940414000000.0,4077540000000.0,
20241231,000030,Q4,00254045,2024,11011,,1215592000000.0,4069308000000.0,3046936000000.0,,485888941000000.0,28944888000000.0,-6062354000000.0,202937000000.0,962490000000.0,
20250331,000030,Q1,00254045,2025,11013,,283614000000.0,815058000000.0,635218000000.0,,494062206000000.0,28159862000000.0,-391202000000.0,1005635000000.0,-1933551000000.0,
20250630,000030,Q2,00254045,2025,11012,,297046000000.0,1101595000000.0,916702000000.0,,494291954000000.0,28549518000000.0,-2613488000000.0,4963434000000.0,1489818000000.0,
20250930,000030,Q3,00254045,2025,11014,,311720000000.0,953514000000.0,736024000000.0,,490080026000000.0,29313198000000.0,-1249835000000.0,4631102000000.0,-1158007000000.0,
20251231,000030,Q4,00254045,2025,11011,,,,,,,,,,,
