date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,006580,Q1,00111227,2016,11013,,41179014561.0,282156397.0,668839537.0,233.0,202320657990.0,95313588467.0,-1136985669.0,-12752922214.0,14000049778.0,
20160630,006580,Q2,00111227,2016,11012,,46433032832.0,430362775.0,764799241.0,341.0,215387220764.0,96176938341.0,-2915125587.0,-18527574670.0,26527506141.0,
20160930,006580,Q3,00111227,2016,11014,,52825304876.0,5792577855.0,1537985696.0,949.0,206388007214.0,99066348895.0,794537464.0,-13637234488.0,13439401210.0,
20161231,006580,Q4,00111227,2016,11011,,195138324228.0,6251141413.0,2768147607.0,1492.0,213956562295.0,99270433646.0,-633454300.0,-15290032826.0,18555765696.0,0.0
20170331,006580,Q1,00111227,2017,11013,,57764676950.0,-805273436.0,-1628347683.0,-525.0,211396171926.0,97604553755.0,-3271638786.0,-1618939380.0,2664959326.0,
20170630,006580,Q2,00111227,2017,11012,,62834858545.0,857369483.0,323031033.0,28.0,222979579347.0,97109506462.0,-8814619540.0,-12044602044.0,18159177719.0,
20170930,006580,Q3,00111227,2017,11014,,69996363629.0,-1784789703.0,-2675443120.0,-79.0,232937345501.0,95141061623.0,-10914399883.0,-19376804139.0,28013410044.0,
20171231,006580,Q4,00111227,2017,11011,,262916771032.0,2386289130.0,-2605602814.0,-10.0,232218876449.0,95349673356.0,-656017661.0,-21140702427.0,19582100609.0,25.0
20180331,006580,Q1,00111227,2018,11013,,66413994146.0,7091825868.0,4878733823.0,246.0,229801113238.0,97866422671.0,7062183713.0,-1450558895.0,-5288223195.0,
20180630,006580,Q2,00111227,2018,11012,,71941232925.0,12375219132.0,4930002998.0,230.0,210354350393.0,102723795531.0,18820805953.0,13150825761.0,-29057578494.0,
20180930,006580,Q3,00111227,2018,11014,,70634634452.0,12099332015.0,10093747141.0,467.0,216140682474.0,112772671627.0,33385353083.0,1119000450.0,-32304595342.0,
