date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,004870,Q1,00109514,2016,11013,,92483596162.0,7322477085.0,6743221714.0,351.0,167171802780.0,51364457143.0,10348628487.0,-4436635595.0,5000000000.0,
20160630,004870,Q2,00109514,2016,11012,,89982128200.0,-4538131155.0,-5414753059.0,-266.0,175263463795.0,50019093593.0,22707588673.0,-16536700776.0,5000000000.0,
20160930,004870,Q3,00109514,2016,11014,,123530902942.0,16901871831.0,15364799856.0,767.0,198316144365.0,65461815509.0,40645120372.0,-39363753319.0,5000000000.0,
20161231,004870,Q4,00109514,2016,11011,,411870541153.0,14230412040.0,3588147935.0,204.0,175552057463.0,49153450993.0,39889338352.0,-33172644340.0,-10376784575.0,0.0
20170331,004870,Q1,00109514,2017,11013,,143297840105.0,15032777522.0,13924676178.0,381.0,211988660144.0,68042741866.0,34321864961.0,-14739191696.0,0.0,
20170630,004870,Q2,00109514,2017,11012,,132363473758.0,4627613203.0,3946201805.0,45.0,239093645034.0,72710594785.0,56515853639.0,-51915797666.0,0.0,
20170930,004870,Q3,00109514,2017,11014,,173533945287.0,25947079902.0,25974787244.0,305.0,264980165788.0,101127092842.0,81423884962.0,-63893365766.0,0.0,
20171231,004870,Q4,00109514,2017,11011,,612787406772.0,45530105367.0,37114719781.0,433.0,296444250151.0,92473551650.0,115898985976.0,-23944000119.0,-356176380.0,0.0
20180331,004870,Q1,00109514,2018,11013,,206079646005.0,44810124573.0,40023550455.0,435.0,339767872490.0,141265846331.0,32035984141.0,-88705183783.0,9600000000.0,
20180630,004870,Q2,00109514,2018,11012,,163999706712.0,1178731728.0,-4564382533.0,-64.0,342030527312.0,137440162754.0,22972062130.0,-15141321278.0,9600000000.0,
20180930,004870,Q3,00109514,2018,11014,,193190004537.0,11259409484.0,43047773414.0,28.0,471829371115.0,290523892335.0,18302648137.0,-59226317302.0,151712029165.0,
20181231,004870,Q4,00109514,2018,11011,,737489327781.0,43276576677.0,33829535572.0,344.0,497537191967.0,284904730468.0,27496534376.0,-76153904510.0,151830511125.0,0.0
20190331,004870,Q1,00109514,2019,11013,,242116498771.0,36331811985.0,19164398355.0,143.0,889029685434.0,313627404718.0,72309545070.0,-60416222318.0,-15559535849.0,
20190630,004870,Q2,00109514,2019,11012,,184013127470.0,-27289890083.0,-34480624684.0,-274.0,897793909440.0,279259533731.0,70778487202.0,-104630438034.0,-32051446153.0,
20190930,004870,Q3,00109514,2019,11014,,204624026198.0,-10937018794.0,-22291987406.0,-176.0,847003168267.0,255680012198.0,49608900263.0,-188577481709.0,-49618355997.0,
20191231,004870,Q4,00109514,2019,11011,,817530536898.0,-23778517624.0,-47661884441.0,-388.0,871001110157.0,245782938440.0,125916130525.0,-129649997130.0,-96359365759.0,0.0
20200331,004870,Q1,00109514,2020,11013,,150536794799.0,-23207838465.0,-35450625961.0,-274.0,755175316373.0,209367083087.0,-58611243744.0,-10620240055.0,-19640985679.0,
20200630,004870,Q2,00109514,2020,11012,,26129384345.0,-49516839988.0,-53448059368.0,-419.0,742367354803.0,156170697443.0,-56532877513.0,-13706380551.0,5695554242.0,
20200930,004870,Q3,00109514,2020,11014,,50299398487.0,-31972619646.0,-33218891370.0,-258.0,693721978627.0,123049169584.0,-56883034153.0,-28763482929.0,-14321541986.0,
20201231,004870,Q4,00109514,2020,11011,,276908903766.0,-177740674351.0,-144397271647.0,-1115.0,766137054522.0,137737651324.0,-66675981177.0,-50548909509.0,25881209146.0,0.0
20210331,004870,Q1,00109514,2021,11013,,38503379019.0,-45567276698.0,-50247735167.0,-351.0,742561366469.0,89066864945.0,961524580.0,-243570482.0,-24416446498.0,
20210630,004870,Q2,00109514,2021,11012,,60671416662.0,-34187111801.0,-31991275441.0,-181.0,798570229939.0,138467984038.0,13451065834.0,-59969304266.0,29412271185.0,
20210930,004870,Q3,00109514,2021,11014,,55430734930.0,-39275113490.0,-46207275752.0,-251.0,782127867416.0,93477121210.0,4154968869.0,-22696746046.0,5265441915.0,
20211231,004870,Q4,00109514,2021,11011,,226746469915.0,-148528985743.0,-163447867041.0,-993.0,805278645714.0,89229853047.0,32323226361.0,-29273629738.0,-10883886782.0,0.0
20220331,004870,Q1,00109514,2022,11013,,61516222722.0,-39744164427.0,-31849694339.0,-79.0,848333647741.0,61569515623.0,523345825.0,-24281088176.0,16494194704.0,
20220630,004870,Q2,00109514,2022,11012,,3372809000.0,-627653607.0,86276150826.0,,218005495997.0,164877281757.0,,,,
20220930,004870,Q3,00109514,2022,11014,,3632523400.0,-196671071.0,-19219733382.0,,201582319753.0,146474309035.0,,,,
20221231,004870,Q4,00109514,2022,11011,,11470361300.0,-1863121812.0,53068448223.0,,210718177191.0,164730790742.0,,,,
20230331,004870,Q1,00109514,2023,11013,,3073156400.0,-270617231.0,3149622141.0,,211846362428.0,165904196259.0,,,,
20230630,004870,Q2,00109514,2023,11012,,2450440899.0,-707038300.0,5767246999.0,,218792694323.0,173154333149.0,,,,
20230930,004870,Q3,00109514,2023,11014,,1272771000.0,-889889839.0,2981348388.0,,220443016061.0,176024654782.0,,,,
20231231,004870,Q4,00109514,2023,11011,,7774124999.0,-3006329578.0,4560758532.0,,215388359744.0,166583694677.0,,,,0.0
20240331,004870,Q1,00109514,2024,11013,,689370500.0,-1241791768.0,5909932968.0,,220032561622.0,171465286071.0,,,,
20240630,004870,Q2,00109514,2024,11012,,1095988600.0,-1315302341.0,1736467755.0,,210919044010.0,167970634234.0,,,,
20240930,004870,Q3,00109514,2024,11014,,1655431400.0,-1285459896.0,-2145337700.0,,209200197513.0,165035781636.0,,,,
20241231,004870,Q4,00109514,2024,11011,,5242842500.0,-5220000555.0,-20751192697.0,,187678000054.0,149000968642.0,,,,
20250331,004870,Q1,00109514,2025,11013,,1096394000.0,-1446254252.0,-14071490135.0,,171778601557.0,134400908926.0,,,,
20250630,004870,Q2,00109514,2025,11012,,2328074000.0,-1044518635.0,-15676163521.0,,150598412832.0,118969920188.0,,,,
20250930,004870,Q3,00109514,2025,11014,,1050245500.0,-624361511.0,-28408345001.0,,121778119518.0,90785008535.0,,,,
20251231,004870,Q4,00109514,2025,11011,,,,,,,,,,,
