date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,014530,Q1,00105156,2016,11013,,54241307006.0,4264587671.0,2883629377.0,827.0,184539069090.0,129584756617.0,10683204534.0,-8729428.0,-4130920000.0,
20160630,014530,Q2,00105156,2016,11012,,62546841169.0,5810134158.0,4329593236.0,124.0,185322935937.0,133601912411.0,13873659827.0,-2785028762.0,-5336696000.0,
20160930,014530,Q3,00105156,2016,11014,,56119816734.0,4007988390.0,2036959857.0,57.0,181016472797.0,135828777308.0,14584505454.0,-3320032551.0,-7403016000.0,
20161231,014530,Q4,00105156,2016,11011,,239781642260.0,18133758868.0,13985965152.0,401.0,191718876568.0,139880976344.0,29597280525.0,-2231431167.0,-7336696000.0,115.0
20170331,014530,Q1,00105156,2017,11013,,58032364261.0,3637998488.0,1360010617.0,39.0,190319840993.0,134341418323.0,6605271299.0,-744561220.0,-2684093980.0,
20170630,014530,Q2,00105156,2017,11012,,63220028993.0,2755488626.0,8289450127.0,239.0,262628246445.0,141690567318.0,-2294572871.0,-39558482656.0,41425837900.0,
20170930,014530,Q3,00105156,2017,11014,,177489474934.0,3825800456.0,3137860293.0,92.0,267452632073.0,144828645158.0,8503419048.0,-47557633990.0,41091837900.0,
20171231,014530,Q4,00105156,2017,11011,,490067710866.0,13604742574.0,15103873717.0,233.0,268503820517.0,148390946083.0,4141149931.0,-48231686159.0,37540583592.0,160.0
20180331,014530,Q1,00105156,2018,11013,,194588045905.0,4490083527.0,3078348175.0,91.0,275816191754.0,146479883834.0,10300711774.0,-6364323197.0,-654600000.0,
20180630,014530,Q2,00105156,2018,11012,,205768761183.0,4987696547.0,4208697028.0,125.0,269972449281.0,149850659136.0,15382775545.0,-17009697739.0,-6041512000.0,
20180930,014530,Q3,00105156,2018,11014,,207623559395.0,4270451466.0,2986640418.0,89.0,275275141437.0,152788448605.0,12852675042.0,-14730289537.0,-8541512000.0,
20181231,014530,Q4,00105156,2018,11011,,830880010059.0,18556595607.0,16292224722.0,484.0,280142460192.0,159930220892.0,12418597093.0,-13257556457.0,-10822900200.0,160.0
