date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,001800,Q1,00117577,2016,11013,,660569980555.0,118929780944.0,73977933876.0,13168.0,2949820693418.0,1553405943797.0,46308279813.0,-100144274318.0,1511588979.0,
20160630,001800,Q2,00117577,2016,11012,,496168227124.0,27875184524.0,7538901182.0,1277.0,2875992073565.0,1547153224594.0,69444015963.0,-35203300351.0,-81333326757.0,
20160930,001800,Q3,00117577,2016,11014,,597169247534.0,94398699630.0,89105325361.0,15305.0,2746677425737.0,1560782461832.0,176206148522.0,660780542.0,-235502293865.0,
20161231,001800,Q4,00117577,2016,11011,,2386269282408.0,326246561218.0,249049643991.0,41785.0,2908864464708.0,1704895452316.0,340626404934.0,-43000075809.0,-308935385494.0,6000.0
20170331,001800,Q1,00117577,2017,11013,,8644155005.0,-4359613694.0,24607321019.0,-658.0,2604719449520.0,-1221819696187.0,-42204133451.0,10256211900.0,-62894226492.0,
20170630,001800,Q2,00117577,2017,11012,,16139645041.0,-3572872256.0,1495095207410.0,36166.0,767009027322.0,642500694083.0,-35983165589.0,-18820074272.0,14848147803.0,
20170930,001800,Q3,00117577,2017,11014,,57771294154.0,11179034951.0,18176666457.0,758.0,805276571546.0,664484210501.0,-23199525024.0,-17376924475.0,14994684800.0,
20171231,001800,Q4,00117577,2017,11011,,112748277933.0,4900910146.0,1486406463796.0,-1250.0,4302849629124.0,3117905287723.0,-8784025368.0,59052775722.0,14432266984.0,600.0
20180331,001800,Q1,00117577,2018,11013,,533064580682.0,83579514612.0,60070732673.0,375.0,4385570905323.0,3191189554769.0,88550685079.0,-84821519731.0,14407608821.0,
20180630,001800,Q2,00117577,2018,11012,,436061072310.0,32065886591.0,28557085948.0,254.0,4340938637215.0,3216707301308.0,141080463256.0,-124562272036.0,-50084645459.0,
20180930,001800,Q3,00117577,2018,11014,,494790747478.0,52508028806.0,12544371984.0,77.0,4314549230919.0,3154453475375.0,283948835029.0,-130659851985.0,-81332154878.0,
20181231,001800,Q4,00117577,2018,11011,,1997682828008.0,230512590959.0,118294877940.0,936.0,4342134127722.0,3176587954361.0,350515236757.0,-122399841903.0,-182208072409.0,650.0
20190331,001800,Q1,00117577,2019,11013,,527444443243.0,63720031583.0,41079666627.0,219.0,4384772240496.0,3229629020563.0,26609406705.0,-77096930840.0,28380688121.0,
20190630,001800,Q2,00117577,2019,11012,,449668028363.0,34122481305.0,22149981974.0,116.0,4240888988660.0,3259758985902.0,135129261803.0,-125485637150.0,-136723931482.0,
20190930,001800,Q3,00117577,2019,11014,,555822496886.0,87808348552.0,59478765105.0,363.0,4364407415986.0,3335846955142.0,249828354371.0,-196628851087.0,-129284024692.0,
20191231,001800,Q4,00117577,2019,11011,,2103591289157.0,266659512732.0,156389780756.0,804.0,4366333653455.0,3337625446118.0,342587759965.0,-243030160988.0,-172450085170.0,650.0
