date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,009300,Q1,00126788,2016,11013,,16745068115.0,2876658290.0,2953141930.0,,153947253065.0,141814368794.0,,,,
20160630,009300,Q2,00126788,2016,11012,,16822779691.0,2984823464.0,2879954602.0,,156383608122.0,144690742026.0,,,,
20160930,009300,Q3,00126788,2016,11014,,14208840863.0,1342701047.0,1541118182.0,,156691016824.0,146251044776.0,,,,
20161231,009300,Q4,00126788,2016,11011,,65875509907.0,9576559522.0,9867236495.0,,162273731918.0,148916437926.0,,,,250.0
20170331,009300,Q1,00126788,2017,11013,,15672696678.0,2075844736.0,1841419658.0,,162960675349.0,150317028214.0,,,,
20170630,009300,Q2,00126788,2017,11012,,15667946353.0,2376431604.0,2215527288.0,,164123135501.0,153149243392.0,,,,
20170930,009300,Q3,00126788,2017,11014,,14417918810.0,1543137828.0,161265434.0,,164831104533.0,153412943730.0,,,,
20171231,009300,Q4,00126788,2017,11011,,61792316813.0,7610608912.0,5801903341.0,,167966454244.0,156103917416.0,,,,250.0
20180331,009300,Q1,00126788,2018,11013,,17355264424.0,3223257395.0,2951319029.0,,167765414460.0,156135909807.0,,,,
20180630,009300,Q2,00126788,2018,11012,,15840717702.0,2500397725.0,2167157981.0,,172291025432.0,159716255954.0,,,,
20180930,009300,Q3,00126788,2018,11014,,14298163482.0,777477588.0,982513972.0,,171630008115.0,159423628680.0,,,,
20181231,009300,Q4,00126788,2018,11011,,66947399195.0,9360979029.0,8801182855.0,,173685655991.0,160902888692.0,,,,250.0
20190331,009300,Q1,00126788,2019,11013,,16542679101.0,2123058717.0,2416029699.0,,178440652069.0,162482878153.0,,,,
20190630,009300,Q2,00126788,2019,11012,,18291301730.0,3027160949.0,2772029402.0,,180461820280.0,164858807058.0,,,,
20190930,009300,Q3,00126788,2019,11014,,32970311333.0,4022186335.0,4334854499.0,314.0,180276914865.0,165876369984.0,10765195497.0,-23072004408.0,585617910.0,
20191231,009300,Q4,00126788,2019,11011,,71560150104.0,10396873786.0,10197257854.0,1671.0,190780877986.0,168149599146.0,13220565518.0,-21970572371.0,-677180532.0,300.0
20200331,009300,Q1,00126788,2020,11013,,15328962571.0,2038570179.0,1346581188.0,221.0,186885148666.0,167002366305.0,4126275829.0,4686678441.0,-2281756920.0,
20200630,009300,Q2,00126788,2020,11012,,11969673671.0,769383520.0,-369730445.0,-61.0,186518964383.0,167254954179.0,7532199919.0,5664669412.0,-2729417500.0,
20200930,009300,Q3,00126788,2020,11014,,12177859926.0,28679562.0,-675357353.0,-111.0,182912265500.0,166337323412.0,6933671947.0,,-3179904040.0,
20201231,009300,Q4,00126788,2020,11011,,53652808949.0,3930494921.0,123851872.0,20.0,182106237487.0,166286790000.0,9407867519.0,-197935109.0,-3665458640.0,300.0
20210331,009300,Q1,00126788,2021,11013,,10224202046.0,-411677026.0,-427152913.0,-70.0,182572679037.0,167024562292.0,4895817151.0,11986240000.0,-2285602075.0,
20210630,009300,Q2,00126788,2021,11012,,14291665385.0,1529306678.0,164915873.0,27.0,181861968848.0,166940728712.0,7201927094.0,-1423837376.0,-2763612580.0,
20210930,009300,Q3,00126788,2021,11014,,12215100300.0,1214917899.0,618169072.0,101.0,183735889124.0,168309585263.0,11195309001.0,-6496240559.0,-3120171059.0,
20211231,009300,Q4,00126788,2021,11011,,54666374874.0,6048214637.0,3391528143.0,556.0,189171570690.0,172024310485.0,12942695179.0,-19796322975.0,-3669681330.0,250.0
20220331,009300,Q1,00126788,2022,11013,,19195642423.0,4842726692.0,3181747989.0,521.0,189220439873.0,173859827210.0,4827020738.0,-1390000000.0,-2860531610.0,
20220630,009300,Q2,00126788,2022,11012,,16825845848.0,2693524000.0,684614101.0,112.0,191833039154.0,173037361143.0,11199537989.0,-6266161387.0,-4838891560.0,
20220930,009300,Q3,00126788,2022,11014,,21521760596.0,5846045268.0,4127464785.0,676.0,194113316889.0,177599386581.0,13881971274.0,-9382980980.0,-5287479880.0,
20221231,009300,Q4,00126788,2022,11011,,81699539725.0,18253183867.0,11911612530.0,1952.0,203197944143.0,180617934694.0,19604499573.0,-13032423135.0,-5380783793.0,400.0
20230331,009300,Q1,00126788,2023,11013,,24655028969.0,7858484669.0,6800762526.0,1114.0,208848206052.0,185867606797.0,2758021538.0,-4977604711.0,-462265044.0,
20230630,009300,Q2,00126788,2023,11012,,24991073642.0,6792885841.0,5540680459.0,908.0,216383655705.0,192425820217.0,7439133948.0,-10620226381.0,1616784973.0,
20230930,009300,Q3,00126788,2023,11014,,22128276127.0,4218266603.0,4078569528.0,668.0,219330695330.0,195728220166.0,12421139158.0,-12768055319.0,728356448.0,
20231231,009300,Q4,00126788,2023,11011,,97211286212.0,23500211536.0,21373935570.0,3502.0,231307913073.0,200470212496.0,20760150060.0,-20807290585.0,-111769009.0,750.0
20240331,009300,Q1,00126788,2024,11013,,29954800562.0,11458270331.0,9362817894.0,1534.0,242837378179.0,205358051506.0,12071853672.0,1324445899.0,-813225336.0,
20240630,009300,Q2,00126788,2024,11012,,25029734264.0,7564496476.0,6348255801.0,1040.0,245957738473.0,212393980180.0,16931706512.0,-2955542412.0,-4429090607.0,
20240930,009300,Q3,00126788,2024,11014,,20971577070.0,1561416009.0,2103391900.0,345.0,245137081703.0,213984510164.0,24187728103.0,-3405213805.0,-14525959381.0,
20241231,009300,Q4,00126788,2024,11011,,95580725368.0,24466466167.0,22079574395.0,3618.0,248733842277.0,219975767583.0,25247450961.0,-21411237659.0,-3522117769.0,800.0
