date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,000020,Q1,00119195,2016,11013,,59230458275.0,6563293826.0,4785022890.0,,324279014982.0,233901169729.0,,,,
20160630,000020,Q2,00119195,2016,11012,,62512929720.0,2109205565.0,978210181.0,,330912312656.0,234269796307.0,,,,
20160930,000020,Q3,00119195,2016,11014,,57363057373.0,2081179253.0,1437847022.0,,328423935200.0,235189564506.0,,,,
20161231,000020,Q4,00119195,2016,11011,,237470834801.0,11259333902.0,26254318411.0,,324604536650.0,252925299902.0,,,,110.0
20170331,000020,Q1,00119195,2017,11013,,60641064658.0,4655520648.0,3429906190.0,,322490785093.0,253228339333.0,,,,
20170630,000020,Q2,00119195,2017,11012,,66954552049.0,4291338966.0,3187634349.0,,332518274520.0,256756341954.0,,,,
20170930,000020,Q3,00119195,2017,11014,,64433051568.0,2183692407.0,783916725.0,,338913041881.0,257041228060.0,,,,
20171231,000020,Q4,00119195,2017,11011,,258881616575.0,10987308187.0,47009013175.0,,367225133428.0,296944728429.0,,,,150.0
20180331,000020,Q1,00119195,2018,11013,,76964182894.0,5413847011.0,4711061601.0,,380677272925.0,298666292196.0,,,,
20180630,000020,Q2,00119195,2018,11012,,79337515115.0,836966012.0,749904320.0,,374926766925.0,298750734806.0,,,,
20180930,000020,Q3,00119195,2018,11014,,74914743491.0,1558036932.0,1177559917.0,,372532532312.0,300482073748.0,,,,
20181231,000020,Q4,00119195,2018,11011,,306602589029.0,11225780035.0,10068112569.0,365.0,370599242793.0,297400651562.0,-4360077740.0,17217388842.0,-3831159500.0,120.0
20190331,000020,Q1,00119195,2019,11013,,74663350888.0,2289249518.0,1841873359.0,67.0,372270805294.0,296546701809.0,3575514615.0,-6610530823.0,-3394104600.0,
20190630,000020,Q2,00119195,2019,11012,,74928662506.0,-865078361.0,-631075794.0,-23.0,376070537830.0,294185466630.0,2979054091.0,-10316458467.0,-3588120000.0,
20190930,000020,Q3,00119195,2019,11014,,74216993968.0,686087898.0,233435524.0,8.0,374778098857.0,294121189114.0,5971051874.0,-2305245319.0,-4076295553.0,
20191231,000020,Q4,00119195,2019,11011,,307150025786.0,9917746256.0,9393854731.0,341.0,376028553041.0,300874594398.0,13284966205.0,-11178445127.0,-4937574198.0,120.0
20200331,000020,Q1,00119195,2020,11013,,67003673192.0,2706892406.0,2258999556.0,82.0,376185904106.0,299487146452.0,22650239013.0,19189001685.0,-3884753374.0,
20200630,000020,Q2,00119195,2020,11012,,69833296669.0,6223347724.0,6719645353.0,243.0,388290451614.0,311188572849.0,33931964432.0,44229813643.0,-4459441912.0,
