date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,004090,Q1,00157991,2016,11013,,87875942507.0,2167186253.0,1561888598.0,2258.0,256207072329.0,129444073943.0,10699591009.0,-14400565873.0,10797180484.0,
20160630,004090,Q2,00157991,2016,11012,,103345746301.0,6371998575.0,4956829244.0,7726.0,257125273220.0,134302431660.0,-340172285.0,-14122463548.0,13016045154.0,
20160930,004090,Q3,00157991,2016,11014,,98849019648.0,4046531697.0,2058639186.0,3276.0,259760002999.0,136335898151.0,3765978542.0,-14497838786.0,13655046005.0,
20161231,004090,Q4,00157991,2016,11011,,402717350712.0,16887428308.0,11815155447.0,18349.0,262226686838.0,138978751599.0,5234202749.0,-4897568563.0,-1495798435.0,1500.0
20170331,004090,Q1,00157991,2017,11013,,96159674665.0,2481623217.0,2231508401.0,3309.0,256732754063.0,139980089171.0,1847060254.0,1939353744.0,-5369039637.0,
20170630,004090,Q2,00157991,2017,11012,,111791658992.0,3800613269.0,5062115828.0,7794.0,283313026319.0,144805904861.0,4461378300.0,-11867458305.0,10779892056.0,
20170930,004090,Q3,00157991,2017,11014,,106369255481.0,4286190829.0,2458154955.0,3873.0,290299410966.0,147284609812.0,4085883130.0,-10987598198.0,11973918668.0,
20171231,004090,Q4,00157991,2017,11011,,424489452217.0,14199104428.0,9869813368.0,15083.0,284829420724.0,146748696029.0,6165894600.0,-11807751681.0,7847141325.0,2000.0
20180331,004090,Q1,00157991,2018,11013,,95601536417.0,1637910944.0,899898285.0,1307.0,286291639920.0,144260074074.0,655222388.0,-989378604.0,686619918.0,
20180630,004090,Q2,00157991,2018,11012,,125386918027.0,4129011072.0,3255636850.0,5266.0,306145510654.0,147889802190.0,-9930189125.0,-2528677392.0,13261982920.0,
20180930,004090,Q3,00157991,2018,11014,,116251561271.0,1286942272.0,201298845.0,300.0,310359592038.0,148144137131.0,-11478674528.0,-7807808425.0,20308470145.0,
20181231,004090,Q4,00157991,2018,11011,,481298174980.0,8278930068.0,4299729965.0,7011.0,307288011670.0,147706017413.0,-8875040591.0,-12324371842.0,18454127410.0,1500.0
20190331,004090,Q1,00157991,2019,11013,,105572889547.0,1754790039.0,1122261035.0,1815.0,314573652726.0,148080007511.0,10283494975.0,-8608881102.0,1640377176.0,
20190630,004090,Q2,00157991,2019,11012,,131656569569.0,2672458756.0,1273424658.0,2120.0,322159590091.0,149446874763.0,-2974755779.0,-3054784521.0,8044576976.0,
20190930,004090,Q3,00157991,2019,11014,,120424809057.0,1933440952.0,649689556.0,,313557820455.0,149512919050.0,14186065540.0,-7235217380.0,-2780880862.0,
20191231,004090,Q4,00157991,2019,11011,,485386596735.0,6141381489.0,-7676789956.0,,292834924073.0,138714160138.0,21492996650.0,-4878705853.0,-9876531849.0,1500.0
20200331,004090,Q1,00157991,2020,11013,,107897730792.0,2035963365.0,996912870.0,,307677869036.0,137967773746.0,11739165559.0,-10086529972.0,8372394003.0,
20200630,004090,Q2,00157991,2020,11012,,124163071568.0,6044711032.0,925804548.0,,320622878225.0,138213945875.0,11821973347.0,-10805883096.0,22404172313.0,
20200930,004090,Q3,00157991,2020,11014,,119988886285.0,4732197137.0,2003072674.0,,315046984586.0,139963451915.0,17107538391.0,-13910863216.0,15732680668.0,
20201231,004090,Q4,00157991,2020,11011,,484013218472.0,17445000515.0,6351446119.0,,316488296609.0,144016463469.0,17089364113.0,-7802445373.0,309234501.0,1600.0
20210331,004090,Q1,00157991,2021,11013,,130232696508.0,3272853865.0,1783370099.0,,329876651821.0,144737655292.0,8081555011.0,-8407027217.0,3356159524.0,
20210630,004090,Q2,00157991,2021,11012,,164249017864.0,5246579501.0,4241526177.0,,337449801132.0,148863957355.0,-6674866427.0,-11613576245.0,10219511215.0,
20210930,004090,Q3,00157991,2021,11014,,148015318532.0,2125861397.0,605003954.0,,331800391859.0,149230394005.0,-6834105606.0,-14195203094.0,15250622457.0,
20211231,004090,Q4,00157991,2021,11011,,628912392131.0,15555452409.0,11251505152.0,,342126722607.0,153928586942.0,-6342019979.0,-18687389372.0,13068041385.0,110.0
20220331,004090,Q1,00157991,2022,11013,,181363979558.0,4709606674.0,3489994980.0,,367498611084.0,156232656342.0,8004940064.0,-4587341944.0,9430594667.0,
20220630,004090,Q2,00157991,2022,11012,,209801206206.0,4294621932.0,1632632765.0,,372959347854.0,158145882677.0,1751956515.0,-8542324881.0,15233726692.0,
20220930,004090,Q3,00157991,2022,11014,,173175669936.0,4279239489.0,1428514592.0,,352752670735.0,160279948636.0,23756020165.0,-11029563018.0,-8022066219.0,
20221231,004090,Q4,00157991,2022,11011,,747935988449.0,17997729590.0,10997829043.0,,347065524190.0,163736985429.0,29765967794.0,-12212109925.0,-8504242491.0,110.0
