종목명,Code,ClosePrice,Pred_Prob(%)
인바이츠바이오코아,216400,2495.0,75.41
삼익제약,014950,17380.0,69.53
애드포러스,397810,7280.0,69.14
뉴파워프라즈마,144960,4850.0,68.07
오아,342870,8280.0,67.45
판도라티비,202960,611.0,67.3
이앤에치,341310,549.0,66.86
JTC,950170,3800.0,66.33
럭스피아,092590,469.0,66.0
비트플래닛,049470,1363.0,65.28
